首发论坛：经济学家bbs.jjxj.org,,,,,,,,,,,,,,,,,单位：户、人
地    区,合    计,,,"性别比
（女=100）",户籍人口,"少数民族
人口比重
（%）","非农业户口
人口比重
（%）",城乡人口,,家庭户,,,,家庭户类别,,,
,合计,男,女,,,,,城镇人口,乡村人口,户数,人口数,"户规模
（人/户）",,一代户,二代户,三代户,四代以上户
,,,,,,,,,,,,,一人户,,,,
北京市,19612368,10126430,9485938,106.75,12554049,4.09,61.79,16858692,2753676,6680552,16389723,2.45,1657806,3366014,2632470,671881,10187
市辖区,18827262,9727900,9099362,106.91,11845658,4.01,62.84,16446857,2380405,6394889,15647716,2.45,1607481,3238586,2500993,645569,9741
  东城区,573180,284906,288274,98.83,619886,5.18,84.10,573180,,190192,486043,2.56,46085,79556,84856,25552,228
  西城区,674531,338835,335696,100.94,801675,5.36,81.98,674531,,228304,572542,2.51,50653,99553,102070,26470,211
  崇文区,346073,169572,176501,96.07,333063,4.23,87.19,346073,,124210,315654,2.54,29104,53808,54121,16097,184
  宣武区,568784,283735,285049,99.54,535825,7.49,84.44,568784,,212781,513124,2.41,51939,100922,90205,21516,138
  朝阳区,3545137,1824922,1720215,106.09,1886554,3.96,69.46,3532257,12880,1317845,2981747,2.26,409108,767205,445369,104235,1036
  丰台区,2112162,1078178,1033984,104.27,1054136,3.40,67.86,2098632,13530,795168,1908529,2.40,200350,411089,314602,68802,675
  石景山区,616083,316238,299845,105.47,360326,3.42,79.96,616083,,219907,546157,2.48,45127,102113,96403,21216,175
  海淀区,3280670,1694525,1586145,106.83,2178283,4.10,71.83,3208563,72107,976376,2329230,2.39,274455,495939,381325,98155,957
  门头沟区,290476,147785,142691,103.57,243302,1.67,67.86,248547,41929,107009,279456,2.61,19404,44807,51195,10888,119
  房山区,944832,485713,459119,105.79,774080,2.96,47.07,635282,309550,314012,859790,2.74,49080,129082,144524,39677,729
  通州区,1184256,610533,573723,106.42,661846,4.07,47.47,724228,460028,419109,1037538,2.48,101479,215081,159361,43795,872
  顺义区,876620,455205,421415,108.02,582184,3.60,39.95,471459,405161,294614,785052,2.66,60581,137431,116002,39976,1205
  昌平区,1660501,889306,771195,115.32,535402,3.99,53.28,1310617,349884,496867,1208293,2.43,122804,265330,182658,48196,683
  大兴区,1365112,738570,626542,117.88,602909,3.58,38.33,965683,399429,425156,1084891,2.55,101509,216467,161099,46317,1273
  怀柔区,372887,196954,175933,111.95,279486,8.46,34.54,253088,119799,135644,342912,2.53,27154,66160,56149,13048,287
  平谷区,415958,212923,203035,104.87,396701,1.04,42.14,219850,196108,137695,396758,2.88,18649,54043,61054,21629,969
县,785106,398530,386576,103.09,708391,5.95,36.78,411835,373271,285663,742007,2.60,50325,127428,131477,26312,446
  密云县,467680,236488,231192,102.29,429342,7.52,34.44,257449,210231,179493,446684,2.49,34802,88234,76006,14965,288
  延庆县,317426,162042,155384,104.28,279049,3.65,40.22,154386,163040,106170,295323,2.78,15523,39194,55471,11347,158
,,,,,,,,,,,,,,,,,
天津市,12938693,6907091,6031602,114.52,9919579,2.56,50.24,10277893,2660800,3661992,10262186,2.80,460072,1337976,1850782,460844,12390
市辖区,11090783,5948246,5142537,115.67,8156160,2.59,55.68,9562255,1528528,3108605,8486345,2.73,413083,1167213,1572313,361196,7883
  和平区,273477,138195,135282,102.15,390989,3.28,84.63,273477,,90152,225565,2.50,17755,36940,43500,9639,73
  河东区,860852,433031,427821,101.22,748741,2.20,94.39,860852,,310544,812131,2.62,43980,113342,165129,31688,385
  河西区,870632,428075,442557,96.73,785179,2.73,90.71,870632,,293578,753300,2.57,46485,114685,149719,28906,268
  南开区,1018196,517193,501003,103.23,839053,3.15,85.53,1018196,,312388,811622,2.60,45453,119075,162783,30235,295
  河北区,788451,420238,368213,114.13,627547,2.45,83.97,788451,,250192,660653,2.64,37327,90804,130832,28250,306
  红桥区,531526,274061,257465,106.45,543140,7.16,87.65,531526,,173507,450431,2.60,24517,65318,91639,16390,160
  东丽区,598966,335320,263646,127.19,351047,2.58,35.21,591040,7926,180448,480715,2.66,27084,79256,83466,17411,315
  西青区,713060,367537,345523,106.37,374509,1.80,36.20,524894,188166,187212,494845,2.64,26883,81873,89536,15574,229
  津南区,593063,336006,257057,130.71,406760,2.23,24.78,590072,2991,150048,443346,2.95,14871,49737,78097,21809,405
  北辰区,669121,348526,320595,108.71,368679,4.93,52.69,575103,94018,199916,549259,2.75,24215,74770,102084,22684,378
  武清区,951078,504396,446682,112.92,845308,1.80,16.11,352659,598419,252847,836917,3.31,19093,65990,120725,63081,3051
  宝坻区,799157,427643,371514,115.11,677401,1.01,17.23,271992,527165,212266,658867,3.10,17646,69021,106039,35649,1557
  滨海新区,2423204,1418025,1005179,141.07,1197807,1.93,44.56,2313361,109843,495507,1308694,2.64,67774,206402,248764,39880,461
县,1847910,958845,889065,107.85,1763419,2.36,17.65,715638,1132272,553387,1775841,3.21,46989,170763,278469,99648,4507
  宁河县,416143,222153,193990,114.52,381818,0.96,22.52,152388,263755,115808,377437,3.26,9847,34122,58627,22258,801
  静海县,646978,336287,310691,108.24,559704,1.04,17.44,293014,353964,203142,620748,3.06,17184,67501,110013,25000,628
  蓟县,784789,400405,384384,104.17,821897,4.20,15.24,270236,514553,234437,777656,3.32,19958,69140,109829,52390,3078
,,,,,,,,,,,,,,,,,
河北省,71854210,36430286,35423924,102.84,71910486,4.17,21.26,31575328,40278882,20395116,68538709,3.36,1886200,5633257,10494814,4086217,180828
石家庄市,10163788,5087913,5075875,100.24,9810454,0.90,30.23,5145133,5018655,2720331,9443736,3.47,264490,699919,1332796,656444,31172
  长安区,479801,237380,242421,97.92,426854,1.88,86.78,479801,,146881,432639,2.95,19134,49776,72541,23980,584
  桥东区,410116,213329,196787,108.41,381875,1.49,87.75,410116,,124846,350034,2.80,21004,47113,61206,16341,186
  桥西区,596164,282651,313513,90.16,512378,2.01,83.00,596164,,170458,478486,2.81,22658,60402,88310,21344,402
  新华区,625119,304252,320867,94.82,489118,1.99,74.22,591611,33508,181298,513844,2.83,24052,63988,94288,22487,535
  井陉矿区,95170,48408,46762,103.52,95404,0.18,91.12,64080,31090,30383,88174,2.90,3781,11690,13614,4969,110
  裕华区,628572,306409,322163,95.11,525291,1.66,86.41,628572,,161849,507021,3.13,14018,45184,87559,28107,999
  井陉县,309882,158588,151294,104.82,324889,0.08,12.16,91804,218078,87786,297375,3.39,9439,23134,43079,20886,687
  正定县,466807,229267,237540,96.52,466898,0.82,11.45,208276,258531,116113,442864,3.81,8512,22396,54393,37290,2034
  栾城县,355775,178211,177564,100.36,351517,0.18,9.24,149273,206502,83475,343337,4.11,5256,12355,39425,29805,1890
  行唐县,406353,203863,202490,100.68,430122,0.20,8.27,82946,323407,115177,397306,3.45,11454,30477,59668,24089,943
  灵寿县,333558,168818,164740,102.48,329244,0.09,10.78,89340,244218,84405,318266,3.77,7453,18653,43226,21511,1015
  高邑县,186478,95635,90843,105.28,185459,0.05,9.94,47020,139458,46959,181529,3.87,3233,9850,21776,14489,844
  深泽县,250264,129676,120588,107.54,253992,0.10,11.51,72203,178061,67264,234383,3.48,6349,19583,29857,16930,894
  赞皇县,244799,126233,118566,106.47,254365,0.02,9.45,50242,194557,65677,235282,3.58,6063,15911,36660,12626,480
  无极县,502662,253533,249129,101.77,505937,2.77,8.95,122816,379846,129011,491683,3.81,9995,27863,58215,40630,2303
  平山县,433429,220805,212624,103.85,470120,0.13,8.26,131550,301879,122297,422031,3.45,14642,34755,56499,29798,1245
  元氏县,418466,212801,205665,103.47,416842,0.06,5.55,100639,317827,95829,411050,4.29,5317,13594,47565,32869,1801
  赵县,571077,294492,276585,106.47,577596,0.05,9.03,175520,395557,148326,556808,3.75,13178,31027,71878,43284,2137
  辛集市,615919,306944,308975,99.34,613336,0.23,12.28,236658,379261,176891,585056,3.31,17905,51676,79559,43414,2242
  藁城市,775110,386589,388521,99.50,784331,1.08,6.99,286136,488974,197063,764535,3.88,14044,34372,95426,63431,3834
  晋州市,537679,271218,266461,101.79,538043,0.06,8.48,160284,377395,144670,527080,3.64,11363,33610,70296,38892,1872
  新乐市,487652,244242,243410,100.34,489781,1.63,8.78,194480,293172,117416,471502,4.02,7550,20568,56669,37837,2342
  鹿泉市,432936,214569,218367,98.26,387062,0.56,15.64,175602,257334,106257,393451,3.70,8090,21942,51087,31435,1793
唐山市,7577289,3871292,3705997,104.46,7335290,3.31,27.90,3850975,3726314,2375634,7218922,3.04,227282,775762,1220632,367234,12006
  路南区,311076,160363,150713,106.40,320317,1.77,65.11,281164,29912,95975,277903,2.90,10194,34567,45690,15385,333
  路北区,743504,371162,372342,99.68,673207,1.81,84.68,724564,18940,229744,659884,2.87,25268,73980,121015,34215,534
  古冶区,358461,179907,178554,100.76,358351,1.31,73.78,291069,67392,126504,351970,2.78,15239,47324,60109,18829,242
  开平区,262571,133779,128792,103.87,238097,3.50,48.97,153413,109158,89942,254364,2.83,9542,33469,44689,11593,191
  丰润区,595467,307368,288099,106.69,575553,2.77,18.93,326502,268965,189128,566358,2.99,16197,63668,98521,26041,898
  丰南区,916092,469030,447062,104.91,916441,2.34,23.90,351479,564613,307903,882775,2.87,33042,118299,151132,37294,1178
  滦县,554315,283066,271249,104.36,550873,1.66,12.10,208212,346103,174418,541849,3.11,14319,51971,97452,24204,791
  滦南县,584518,295444,289074,102.20,580233,2.43,10.01,198167,386351,184264,569939,3.09,14169,58509,94748,29616,1391
  乐亭县,526222,268491,257731,104.17,501304,1.24,16.94,154632,371590,175202,495318,2.83,16961,67468,86728,20384,622
  迁西县,390128,201178,188950,106.47,380255,2.04,12.77,160113,230015,112491,380622,3.38,9921,29068,58618,23978,827
  玉田县,684833,348804,336029,103.80,672336,4.36,11.09,283926,400907,210772,666275,3.16,18714,64346,108018,36805,1603
  唐海县,184931,105915,79016,134.04,142706,1.18,19.22,109126,75805,53466,145275,2.72,6112,22395,27098,3870,103
  遵化市,737011,372554,364457,102.22,729808,12.49,9.79,299759,437252,212087,722135,3.40,18894,53604,109330,47172,1981
  迁安市,728160,374231,353929,105.74,695809,2.44,14.41,308849,419311,213738,704255,3.29,18710,57094,117484,37848,1312
秦皇岛市,2987605,1516194,1471411,103.04,2879710,15.85,32.40,1419487,1568118,957621,2811972,2.94,100369,338442,484340,130593,4246
