首发论坛：经济学家bbs.jjxj.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,单位：人
地    区,0岁,,1-4岁,1-4岁,5-9岁,1-4岁,10-14岁,1-4岁,15-19岁,1-4岁,20-24岁,1-4岁,25-29岁,1-4岁,30-34岁,1-4岁,35-39岁,1-4岁,40-44岁,1-4岁,45-49岁,1-4岁,50-54岁,1-4岁,55-59岁,1-4岁,60-64岁,1-4岁,65-69岁,1-4岁,70-74岁,1-4岁,75-79岁,1-4岁,80-84岁,1-4岁,85岁及以上,1-4岁
,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女
北京市,60564,55318,300229,269769,266411,234858,263230,237058,564868,506210,1368039,1264989,1223231,1155783,955672,868667,916825,803776,884231,772124,861742,767062,691118,655890,597114,607482,368042,383214,243021,273343,235799,268206,187209,199165,94819,104854,44266,58170
市辖区,58136,52934,287965,258009,253067,222643,246096,220592,542380,484689,1328243,1226659,1191978,1125201,930412,843889,884584,772788,843286,732152,822397,727651,657180,623270,568187,578841,349371,365305,229731,261070,223397,257421,178537,190426,90611,100187,42342,55635
  东城区,1949,1676,6213,5946,6801,6193,8074,7318,15084,13315,31969,31143,32326,31135,22435,21922,20815,21713,21520,22557,27097,26291,25328,25436,21574,22171,12508,12636,7635,8572,8049,11083,7787,9486,4840,5879,2902,3802
  西城区,2232,2109,7643,6731,8841,7905,9736,8825,20295,17124,41797,36007,36915,34860,25139,24692,25483,26331,25621,26829,30590,29533,27543,27377,23420,24407,13809,14543,9196,10914,9991,13686,10390,12157,6530,7217,3664,4449
  崇文区,957,898,4299,3846,3651,3287,4129,3952,7502,7485,16323,17602,18807,20397,14211,14418,12161,12505,12382,12923,17516,16842,16799,16806,13915,14163,7704,7456,4457,5105,4794,7032,5069,6163,3131,3510,1765,2111
  宣武区,1839,1667,6738,6272,6085,5378,6678,6221,12472,11662,28466,28605,33509,34029,24684,23708,20754,20223,20329,20369,28378,26974,27124,26264,22652,22939,12635,12710,7694,8454,8129,11106,8284,9640,4798,5566,2487,3262
  朝阳区,10125,9340,52165,46995,42208,36528,37586,33110,88354,79770,229485,228851,240743,240934,201622,185676,184382,156165,165466,138142,152366,129237,115483,107660,97789,101820,61327,66082,42729,49132,43864,51218,34918,33989,16777,16572,7533,8994
  丰台区,6643,5942,35463,30980,29881,25341,26703,23766,49297,44020,116068,113486,131332,132399,111599,104935,101382,90507,93916,82817,97364,87402,82860,79651,68508,70415,40863,41647,24646,28747,25049,31492,21313,22895,10555,11561,4736,5981
  石景山区,2026,1866,9808,8880,8533,7609,8703,7824,15136,13091,35710,30391,35940,35696,29628,28583,27478,25786,28053,24453,29041,25601,24719,24051,22419,22033,11559,11955,7428,9078,8240,10031,6811,7431,3514,3680,1492,1806
  海淀区,8876,8037,43027,38229,41451,36828,40386,36200,117775,108467,323245,297430,237320,207949,149158,134132,137772,128193,133182,121164,123884,109028,89304,85299,75018,77289,45960,51005,33735,43637,40869,46651,31077,32579,15431,15850,7055,8178
  门头沟区,862,885,4604,4146,4670,4337,5231,4838,6855,6176,11019,10484,12283,12780,10849,10935,12438,11636,14690,12986,16840,14616,14050,12919,12054,11433,6977,6878,4165,5321,4274,5577,3528,3855,1704,1912,692,977
  房山区,3263,3062,16137,14850,15854,14686,17793,16556,28431,24461,51694,47053,42933,42317,37434,34828,44536,39166,46993,40989,46579,41920,37589,35957,34910,35613,22223,23918,14570,16939,11497,12504,8225,8131,3647,4023,1405,2146
  通州区,4073,3592,21007,19131,16182,14542,14862,13432,31057,28817,73968,70898,73756,72061,64715,58082,58594,48208,53670,44669,48137,43905,39588,39367,40162,42593,26366,27444,16590,16897,12950,12286,8805,9207,4175,5433,1876,3159
  顺义区,2971,2648,14730,13123,13407,11494,12930,11566,24035,21955,64178,59390,49267,45061,38381,33118,40986,34951,42375,36569,40686,36912,31881,30316,28637,29149,17866,18606,12596,13092,9607,9156,6434,7538,2968,4351,1270,2420
  昌平区,4891,4516,29018,25645,21677,18829,17891,15276,52795,45399,147304,127949,122431,108195,99422,83731,87401,67125,75493,57638,64712,53236,48696,43892,41909,42484,28241,27927,17657,17829,13712,13613,9565,9777,4437,5009,2054,3125
