首发论坛：经济学家bbs.jjxj.org,,,,,,,,,,,,,,
地    区,各年龄组人口占总人口比重（%）,,,,有65岁及以上老年人口的户数（户）,,,,人口自然变动（‰）,,,迁入人口（人）,,
,0-14岁,15-64岁,65岁及以上,"15-49岁
育龄妇女",合计,有一个老人,有二个老人,"有三个
及以上老人",出生率,死亡率,自然增长率,"本县（市）/
本市市区","本省其他县
（市）、市区",外省
北京市,8.60,82.68,8.71,31.30,1207750,730261,473480,4009,5.92,3.94,1.98,1582574,1871181,7044533
市辖区,8.50,82.85,8.65,31.41,1149602,692466,453281,3855,5.91,3.87,2.04,1498350,1854807,6935790
  东城区,7.71,80.08,12.22,29.32,51204,33214,17745,245,6.33,6.14,0.19,30459,31499,137155
  西城区,8.01,78.92,13.07,28.96,62231,37056,24967,208,6.45,5.99,0.46,35586,57281,181468
  崇文区,7.23,80.31,12.46,29.52,31367,19928,11334,105,5.37,5.13,0.24,18292,41513,82454
  宣武区,7.19,80.61,12.20,29.11,49824,30985,18711,128,6.16,6.32,-0.16,33682,83878,145616
  朝阳区,7.56,83.81,8.62,32.69,213316,124450,88109,757,5.50,3.20,2.30,359884,363421,1514822
  丰台区,8.75,82.40,8.85,31.04,132568,79578,52660,330,5.97,3.44,2.53,117339,363366,812713
  石景山区,8.97,81.37,9.66,29.80,41247,24066,17076,105,6.32,4.34,1.98,45801,91731,206493
  海淀区,7.71,83.90,8.38,33.72,187649,104305,82635,709,5.16,2.56,2.60,270747,165874,1256145
  门头沟区,10.18,78.80,11.02,27.41,23136,15080,8011,45,6.02,6.35,-0.33,41079,18553,47275
  房山区,10.82,80.39,8.79,28.65,60326,38595,21597,134,6.70,5.54,1.16,85287,39923,195099
  通州区,9.02,83.26,7.72,30.96,65981,41906,23847,228,6.48,4.05,2.43,99075,107011,435173
  顺义区,9.45,82.63,7.92,30.57,49985,31314,18494,177,6.42,4.92,1.50,112091,49862,278721
  昌平区,8.30,85.88,5.83,32.72,67375,40981,26129,265,5.67,2.46,3.21,65650,287048,847067
  大兴区,9.41,84.56,6.03,31.45,58543,36648,21677,218,6.12,3.49,2.63,86077,138930,644057
  怀柔区,11.48,79.78,8.73,28.48,23546,14890,8583,73,7.69,5.48,2.21,54308,9756,102649
  平谷区,10.54,78.95,10.51,27.36,31304,19470,11706,128,7.00,7.34,-0.34,42993,5161,48883
县,11.21,78.67,10.13,28.73,58148,37795,20199,154,6.13,5.77,0.36,84224,16374,108743
  密云县,11.56,78.18,10.26,28.33,35000,22680,12225,95,6.54,6.05,0.49,55747,10247,69438
  延庆县,10.68,79.39,9.93,29.32,23148,15115,7974,59,5.53,5.37,0.16,28477,6127,39305
,,,,,,,,,,,,,,
天津市,9.80,81.68,8.52,28.12,781761,483217,296023,2521,6.34,4.14,2.20,1095282,865442,2991501
市辖区,8.68,82.77,8.55,28.34,668801,410015,256742,2044,5.65,3.89,1.76,1005582,858283,2856590
  和平区,8.01,78.63,13.36,26.54,25932,16554,9304,74,6.42,5.65,0.77,25392,16378,53226
  河东区,7.66,80.34,12.00,26.33,73601,45207,28181,213,5.70,3.92,1.78,101234,98438,72069
  河西区,7.02,80.39,12.59,28.58,76917,45870,30818,229,4.99,3.87,1.12,106837,71345,103019
  南开区,6.61,81.66,11.73,28.62,81715,47312,34143,260,4.90,3.21,1.69,130179,101044,175744
  河北区,6.09,82.12,11.79,24.93,66550,41790,24567,193,4.01,4.45,-0.44,102582,57108,146435
  红桥区,6.29,81.83,11.89,26.29,44902,28148,16635,119,5.04,4.26,0.78,83153,71081,72212
