首发论坛：经济学家bbs.jjxj.org,,,,,,,,,,,,,,,,,,,,,单位：人
地    区,6岁及以上各种受教育程度人口,,,,,,,,,,,,平均受教育年限（年）,,,15岁及以上文盲人口,,,文盲人口占15岁及以上人口比重（%）,,
,未上过学,,小学,小学,初中,初中,高中,高中,大学专科,大学专科,大学本科及以上,大学本科及以上,,,,,,,,,
,男,女,男,女,男,女,男,女,男,女,男,女,合计,男,女,合计,男,女,合计,男,女
北京市,85234,278536,915760,1036859,3422170,2735274,2130596,2031078,1168702,1209242,1983280,1816548,11.71,11.81,11.59,333098,72558,260540,1.86,0.79,3.00
市辖区,71709,248907,845808,966383,3263015,2595783,2051556,1958262,1132352,1174422,1960355,1793897,11.78,11.88,11.68,291542,59804,231738,1.69,0.67,2.78
  东城区,1057,5776,19190,25959,69803,60436,79660,79915,41642,45057,64096,62361,12.45,12.59,12.32,6052,784,5268,1.14,0.30,1.97
  西城区,1454,7863,23615,31088,80813,67767,78295,79883,45149,49677,97984,89071,12.65,12.83,12.48,8485,1136,7349,1.37,0.37,2.37
  崇文区,1394,6046,12626,16208,41084,37682,47505,49339,24487,26137,36465,35609,12.19,12.41,11.98,6685,1162,5523,2.08,0.74,3.36
  宣武区,1711,9192,20180,25706,69195,59028,74066,75846,39245,41509,69519,64711,12.34,12.55,12.14,10211,1511,8700,1.93,0.58,3.28
  朝阳区,7504,28306,127548,148331,593478,457764,381210,371064,228224,246059,414881,403830,12.19,12.18,12.20,30411,5418,24993,0.93,0.32,1.57
  丰台区,6578,26889,92507,108972,344382,289147,262590,254754,137512,140382,185510,170932,11.74,11.88,11.60,29600,5087,24513,1.54,0.52,2.59
  石景山区,1921,8828,25630,29992,86823,72148,76819,74106,45799,44723,65499,57659,12.11,12.30,11.92,10075,1671,8404,1.80,0.58,3.07
  海淀区,6370,22474,106780,122606,415301,330648,309865,307052,200176,219653,595293,529443,12.97,13.02,12.91,24774,4643,20131,0.82,0.30,1.37
  门头沟区,2432,7882,19700,22997,54328,45357,38869,35333,15390,15050,10591,10106,10.51,10.78,10.24,8945,1976,6969,3.43,1.49,5.42
  房山区,6765,21352,64981,77550,205904,168402,102974,93011,43064,42588,39179,35006,10.36,10.60,10.11,26342,6009,20333,3.13,1.39,4.96
  通州区,5412,18140,67089,75542,255707,211464,121343,114348,63720,64535,68229,63421,10.86,10.98,10.72,21762,4658,17104,2.02,0.84,3.27
  顺义区,5234,18312,53001,57040,211064,172733,90864,80675,38467,38759,35817,35446,10.40,10.55,10.23,22331,4693,17638,2.81,1.14,4.61
  昌平区,5866,17339,67596,71364,324064,239925,153487,142588,115582,111167,183512,153957,11.86,11.91,11.80,21198,4954,16244,1.39,0.61,2.30
  大兴区,6966,20019,80809,84777,341905,248206,141697,122270,63280,61093,70499,60999,10.61,10.70,10.51,24412,5669,18743,1.97,0.85,3.31
  怀柔区,5273,12567,28621,28800,79663,62243,44582,37529,16241,14354,12669,11272,10.04,10.31,9.74,17171,4924,12247,5.20,2.82,7.89
  平谷区,5772,17922,35935,39451,89501,72833,47730,40549,14374,13679,10612,10074,9.58,9.98,9.17,23088,5509,17579,6.20,2.90,9.64
县,13525,29629,69952,70476,159155,139491,79040,72816,36350,34820,22925,22651,9.82,10.07,9.57,41556,12754,28802,5.96,3.61,8.38
  密云县,7698,18482,39387,41157,102288,90056,47387,44073,16875,15867,11506,10910,9.60,9.90,9.29,25274,7279,17995,6.11,3.49,8.78
  延庆县,5827,11147,30565,29319,56867,49435,31653,28743,19475,18953,11419,11741,10.15,10.32,9.97,16282,5475,10807,5.74,3.78,7.79
,,,,,,,,,,,,,,,,,,,,,
天津市,79566,232746,1099357,1106597,2822516,2113621,1424883,1247504,575634,513587,612784,559696,10.38,10.52,10.21,271390,61570,209820,2.33,0.99,3.86
市辖区,57868,174273,853748,840363,2380516,1754428,1305360,1152180,541644,484073,589814,540421,10.63,10.73,10.52,199850,44038,155812,1.97,0.81,3.32
