首发论坛：经济学家bbs.jjxj.org,,,,,,,,,,,,,,,,,,,单位：人
地    区,"16岁及以上
人口","各种职业人口
总计",,,,,,,,"各种未工作
人口总计",,,,,,,,,
,,,国家机关、党群组织、企业、事业单位负责人,专业技术人员,"办事人员和
有关人员","商业、服务业
人员","农、林、牧、
渔、水利业
生产人员","生产、运输
设备操作人员
及有关人员","不便分类的
其他从业人员",,在校学生,丧失工作能力,毕业后未工作,"因单位原因
失去工作","因本人原因
失去工作",承包土地被征用,离退休,料理家务,其他
北京市,1672749,977387,29034,199325,151121,330555,56803,210543,6,695362,135993,34149,18162,21134,41988,2131,291019,115401,35385
市辖区,1604550,936068,27928,195047,147820,321742,43728,199798,5,668482,131166,29839,17198,20532,41065,1970,286359,105839,34514
  东城区,49226,22605,717,6094,5622,7941,16,2215,,26621,2745,607,733,1398,1697,11,17716,1626,88
  西城区,57730,31753,1017,8428,8155,11261,30,2862,,25977,4170,467,570,1130,1194,9,15769,1784,884
  崇文区,31554,14227,654,3923,3460,4772,8,1405,5,17327,1595,299,502,1191,938,,11178,850,774
  宣武区,48998,25854,662,7279,6400,8753,8,2752,,23144,2336,441,738,1344,1305,11,14651,1554,764
  朝阳区,307622,184723,7214,41835,31759,72298,558,31059,,122899,20155,1587,3050,3876,6158,161,63604,16963,7345
  丰台区,180042,105696,1992,21651,19545,43810,810,17888,,74346,7648,1277,1841,2588,3183,114,39739,9448,8508
  石景山区,52890,29043,560,7889,4878,9086,137,6493,,23847,3687,442,700,1296,2546,40,12491,2079,566
  海淀区,272407,154628,5215,44480,27950,58160,1637,17186,,117779,45739,1528,2666,2556,8707,138,47609,8324,512
  门头沟区,25523,11665,304,1861,1726,3376,797,3601,,13858,1180,1321,510,626,940,38,4894,3645,704
  房山区,78742,42099,1040,5781,4586,11344,4235,15113,,36643,5740,4010,1064,920,1485,113,8381,12928,2002
  通州区,107119,65310,1300,9931,7281,18317,6621,21860,,41809,6017,3963,945,815,1944,330,11341,10998,5456
  顺义区,76941,49050,1141,5299,4872,14195,4346,19197,,27891,4291,3184,799,469,1891,202,6044,9700,1311
  昌平区,137553,82902,1547,17644,12464,31114,3026,17107,,54651,15151,2728,1191,998,5917,138,17725,8296,2507
  大兴区,111090,73983,3613,8575,5934,18129,11089,26643,,37107,7280,2758,1057,859,1639,616,10762,9530,2606
  怀柔区,31185,19499,390,2222,1744,5186,3038,6919,,11686,1351,2128,338,241,875,25,1847,4483,398
  平谷区,35928,23031,562,2155,1444,4000,7372,7498,,12897,2081,3099,494,225,646,24,2608,3631,89
县,68199,41319,1106,4278,3301,8813,13075,10745,1,26880,4827,4310,964,602,923,161,4660,9562,871
  密云县,40520,25071,806,2437,1811,4950,7457,7610,,15449,1873,2592,510,459,562,136,2803,6012,502
  延庆县,27679,16248,300,1841,1490,3863,5618,3135,1,11431,2954,1718,454,143,361,25,1857,3550,369
,,,,,,,,,,,,,,,,,,,
天津市,992504,550787,20207,77682,40626,120255,113744,176689,1584,441717,87361,29492,14298,19579,10963,2068,164441,83413,30102
市辖区,846109,453050,17581,70764,38519,107276,63263,154147,1500,393059,78827,20648,12736,18983,10506,1946,159408,63306,26699
  和平区,20358,9128,744,2680,1076,2762,18,1810,38,11230,1346,239,436,935,300,4,6917,585,468
  河东区,72923,31056,1782,8055,4910,8586,116,7565,42,41867,5750,1035,1728,3620,2034,25,23423,2831,1421
  河西区,70692,30696,2143,8325,5533,8855,87,5688,65,39996,8321,631,1182,2500,941,9,22328,1884,2200
  南开区,80863,32538,2583,10787,4359,9014,117,5563,115,48325,11298,839,1549,3282,911,51,25082,2670,2643
  河北区,59814,28228,1002,5927,3092,10743,107,7193,164,31586,4338,828,938,1986,654,9,19200,1898,1735
  红桥区,44890,19145,1107,3936,2372,7114,47,4541,28,25745,4604,720,952,1996,655,5,14051,1572,1190
  东丽区,50022,28101,768,2836,1465,7698,934,14334,66,21921,3323,1070,710,599,933,468,5450,6523,2845
  西青区,59278,30421,1334,3730,1720,6321,3356,13909,51,28857,9400,1252,743,743,663,242,6269,6091,3454
  津南区,44239,25974,1001,2546,1160,6473,870,13749,175,18265,3129,1825,472,245,423,450,3113,6254,2354
  北辰区,56303,26785,1065,3300,1697,7434,3542,9408,339,29518,7057,1410,816,1267,680,113,9601,5772,2802
  武清区,72680,52730,868,3130,1599,5513,27023,14572,25,19950,3755,4292,510,140,370,207,2714,6814,1148
  宝坻区,61950,45086,381,2338,1085,4163,23062,13987,70,16864,4424,3835,438,83,142,21,1923,4886,1112
  滨海新区,152097,93162,2803,13174,8451,22600,3984,41828,322,58935,12082,2672,2262,1587,1800,342,19337,15526,3327
县,146395,97737,2626,6918,2107,12979,50481,22542,84,48658,8534,8844,1562,596,457,122,5033,20107,3403
  宁河县,31540,20912,498,1615,192,2444,13072,3089,2,10628,1851,1643,425,105,110,69,1369,3986,1070
  静海县,50940,31478,1257,2517,860,5088,14049,7636,71,19462,3289,2653,593,212,146,20,1581,9493,1475
  蓟县,63915,45347,871,2786,1055,5447,23360,11817,11,18568,3394,4548,544,279,201,33,2083,6628,858
,,,,,,,,,,,,,,,,,,,
河北省,5759327,4004477,63387,233061,125291,442326,2382155,755479,2778,1754850,395729,294779,57633,25877,24206,4717,260363,563288,128258
石家庄市,822077,561374,10989,42264,26095,81652,285059,114875,440,260703,78920,37004,7860,3906,5098,352,47887,63399,16277
  长安区,39692,23149,792,3464,2827,7016,901,8148,1,16543,3780,690,616,516,1000,17,7075,1834,1015
  桥东区,31261,17737,542,3718,2184,7611,277,3342,63,13524,3919,236,476,431,243,1,6144,1373,701
  桥西区,49404,25641,1426,5740,4739,8913,82,4739,2,23763,9193,382,631,753,688,17,8008,3098,993
  新华区,48432,27793,1601,5770,3351,10255,575,6166,75,20639,5778,538,690,599,690,7,7885,3054,1398
  井陉矿区,7673,3973,115,613,361,778,82,1991,33,3700,357,394,92,60,74,2,1188,1283,250
  裕华区,52012,26816,1004,6308,3077,8587,922,6804,114,25196,10596,663,649,333,584,123,6790,3604,1854
  井陉县,24795,16964,277,1013,408,1956,8947,4362,1,7831,1373,1836,206,68,74,2,667,3114,491
  正定县,38532,25417,576,1598,649,3797,10954,7841,2,13115,4297,1955,324,106,272,18,874,4049,1220
  栾城县,29357,20547,498,1101,617,3050,7968,7232,81,8810,3144,1677,384,26,123,9,476,2649,322
  行唐县,31483,25900,129,735,349,1441,22012,1234,,5583,1890,1833,139,78,30,1,474,916,222
  灵寿县,26010,18780,147,638,594,1150,14918,1330,3,7230,2213,1639,265,64,79,3,368,2106,493
  高邑县,15157,10728,198,534,301,1306,4722,3657,10,4429,1057,797,110,61,26,4,320,1743,311
  深泽县,19331,14487,161,629,263,1281,8196,3950,7,4844,779,1203,147,20,58,11,493,1812,321
  赞皇县,20104,16040,87,363,330,595,13776,889,,4064,1004,990,196,65,26,,217,1375,191
  无极县,39523,29159,295,882,615,3039,19720,4605,3,10364,2239,2241,279,30,223,3,671,3695,983
  平山县,34281,26542,468,905,515,2089,19174,3378,13,7739,1856,2024,221,122,109,17,657,2234,499
  元氏县,33543,24494,59,664,401,1309,18158,3901,2,9049,3143,1818,260,40,59,1,324,2748,656
  赵县,46433,35742,200,1043,772,1925,27152,4647,3,10691,3873,2569,250,146,103,14,891,2271,574
  辛集市,51736,39820,482,1578,868,2559,28463,5865,5,11916,2902,3580,262,101,95,26,1412,2984,554
  藁城市,64348,46619,328,1469,836,3645,29664,10671,6,17729,4752,3674,664,70,159,39,704,6424,1243
  晋州市,45319,33741,618,995,735,3183,19197,9013,,11578,3042,2567,219,38,94,8,751,4149,710
  新乐市,37724,28153,235,880,458,2212,20596,3769,3,9571,3273,1897,342,55,89,3,534,2772,606
  鹿泉市,35927,23132,751,1624,845,3955,8603,7341,13,12795,4460,1801,438,124,200,26,964,4112,670
唐山市,627707,402123,7595,29494,15864,51795,195522,101706,147,225584,39362,33154,8291,3476,3682,595,45670,74374,16980
  路南区,26800,14776,473,1845,1040,3876,3241,4301,,12024,2670,707,351,333,188,18,4738,2153,866
  路北区,63907,30297,1168,7236,3534,8289,1258,8786,26,33610,9053,838,1075,743,600,134,14568,3916,2683
  古冶区,31280,13546,284,1460,971,2086,1762,6978,5,17734,1339,1042,1001,324,308,25,6877,5441,1377
  开平区,22251,11066,263,995,806,2307,880,5815,,11185,921,984,479,218,351,9,2825,4265,1133
  丰润区,49369,32633,476,1951,1120,3630,16504,8916,36,16736,3284,2481,494,145,229,33,1602,6436,2032
  丰南区,74967,50126,1128,3582,1706,7065,22136,14509,,24841,2425,4881,1001,513,739,82,4166,10091,943
  滦县,45736,32202,374,1675,642,3124,18748,7637,2,13534,2601,3030,474,100,175,5,1258,5033,858
  滦南县,47942,35785,278,1157,491,1898,28484,3477,,12157,2578,4018,294,178,95,25,1274,3211,484
  乐亭县,43697,33859,261,1351,641,2323,26802,2480,1,9838,2634,3016,217,101,132,54,1411,1702,571
  迁西县,30937,19608,366,1105,694,1849,11169,4425,,11329,1390,1869,452,139,86,4,861,5645,883
  玉田县,56481,39623,628,1959,591,5009,22670,8696,70,16858,2553,3661,364,170,202,39,1355,7129,1385
  唐海县,16052,10771,491,1106,645,1745,3211,3567,6,5281,834,372,232,134,87,7,1665,1558,392
  遵化市,60234,43279,640,1965,1042,4343,27410,7878,1,16955,3239,3358,630,129,122,67,1300,6384,1726
  迁安市,58054,34552,765,2107,1941,4251,11247,14241,,23502,3841,2897,1227,249,368,93,1770,11410,1647
秦皇岛市,248570,162750,2861,11630,6779,20616,93329,27456,79,85820,20236,12767,3161,1651,1411,534,17709,23202,5149
  海港区,65106,32117,1580,6086,3820,10140,1481,8949,61,32989,10004,1262,1182,933,809,338,10366,6059,2036
  山海关区,14673,7533,179,783,497,1638,1305,3127,4,7140,824,416,328,274,112,141,2424,1829,792
  北戴河区,7499,3459,161,514,302,1107,380,995,,4040,1690,219,124,65,27,13,764,889,249
  青龙满族自治县,40116,28662,353,983,564,2066,20926,3768,2,11454,1423,2404,514,139,125,18,556,5630,645
  昌黎县,46355,34575,234,1276,621,2188,26850,3403,3,11780,2959,3489,279,72,73,3,1518,2762,625
  抚宁县,43586,32173,143,1158,671,2369,22781,5042,9,11413,2110,2951,499,82,207,14,1385,3593,572
  卢龙县,31235,24231,211,830,304,1108,19606,2172,,7004,1226,2026,235,86,58,7,696,2440,230
邯郸市,696087,500435,6060,22453,12753,40592,340104,78218,255,195652,41441,31622,7725,3179,1989,500,27640,66589,14967
  邯山区,31209,15642,512,3308,1631,5572,862,3719,38,15567,4986,350,571,444,134,39,5299,2973,771
  丛台区,27271,14820,656,3775,1850,4683,118,3730,8,12451,2132,242,507,726,115,35,6090,1822,782
  复兴区,14985,7863,349,1159,657,2021,66,3554,57,7122,956,211,348,242,86,28,2656,1940,655
  峰峰矿区,39252,18874,569,2083,1384,3231,3360,8240,7,20378,2494,1176,1393,829,272,43,5155,7113,1903
  邯郸县,36347,23720,325,1369,957,3029,12817,5172,51,12627,2158,1381,496,115,123,33,1290,5708,1323
  临漳县,45603,35464,38,623,324,1172,29619,3688,,10139,2370,2240,391,65,67,45,340,3282,1339
  成安县,27844,21748,95,529,414,899,17419,2389,3,6096,1338,1502,212,58,50,47,406,2044,439
  大名县,56290,47486,235,728,296,1366,42949,1910,2,8804,1610,2975,248,50,73,19,405,2640,784
  涉县,32775,23423,250,1148,577,2069,14667,4712,,9352,2660,1642,472,133,123,46,830,3042,404
  磁县,53216,34432,377,1137,884,2829,17841,11363,1,18784,2840,2781,690,124,175,21,925,9523,1705
  肥乡县,26419,22324,68,272,113,331,20989,551,,4095,1126,1353,87,23,21,13,202,953,317
  永年县,68949,51648,894,1582,667,3691,33524,11281,9,17301,4569,3567,389,47,224,15,756,6853,881
  邱县,16900,14042,61,327,246,687,12271,450,,2858,920,816,79,21,28,13,220,606,155
  鸡泽县,20802,16423,73,327,174,433,14343,1070,3,4379,1333,954,155,18,50,11,198,1345,315
  广平县,21658,17660,122,448,255,653,15200,911,71,3998,897,1224,124,18,35,1,309,1133,257
  馆陶县,22284,18432,167,477,342,695,15490,1259,2,3852,814,956,118,51,36,15,292,1251,319
  魏县,59079,46479,134,618,325,2966,39902,2532,2,12600,3048,3596,395,40,105,17,340,3975,1084
  曲周县,32245,27123,90,451,213,461,25442,466,,5122,1315,1711,114,35,21,40,306,1311,269
  武安市,62959,42832,1045,2092,1444,3804,23225,11221,1,20127,3875,2945,936,140,251,19,1621,9075,1265
邢台市,560084,425047,4348,16333,8556,32665,301306,61416,423,135037,33645,28839,4934,1982,1547,309,13798,40305,9678
  桥东区,21968,11125,727,1790,1151,3899,555,3000,3,10843,3022,407,451,577,193,47,3020,2365,761
  桥西区,30861,15986,835,3526,2247,3823,895,4643,17,14875,3524,463,764,774,266,58,4576,3384,1066
