首发论坛：经济学家bbs.jjxj.org,,,,,,,,,,,,,,,,,,,,,,,,,单位：人
地    区,"16岁及以上
人口总计","各种行业人口
总计",,,,,,,,,,,,,,,,,,,,,三次产业人口占行业人口比重(%),,
,,,农林牧渔业,采矿业,制造业,"电力、燃气
及水的生产
和供应业",建筑业,仓储和邮政业,"交通运输、
计算机服务
和软件业","信息传输、
批发和零售业",住宿和餐饮业,金融业,房地产业,"租赁和
商务服务业","科学研究、
技术服务和
地质勘察业","水利、环境
和公共设施
管理业","居民服务和
其他服务业",教育,"卫生、社会
保障和社会
福利业","文化、体育
和娱乐业","公共管理和
社会组织",国际组织,第一产业,第二产业,第三产业
北京市,1672749,977387,53312,3330,152617,9320,65813,61509,39806,194595,57901,26898,34711,49023,30488,12292,29794,45991,25288,27454,57014,231,5.45,23.64,70.90
市辖区,1604550,936068,41263,2829,147265,8945,62932,58063,39510,190911,56233,26398,34184,48299,30220,10566,29038,44390,24412,27223,53156,231,4.41,23.71,71.88
  东城区,49226,22605,17,66,1817,274,712,1318,973,3659,2515,1084,1154,1889,774,304,675,950,959,1256,2196,13,0.08,12.69,87.23
  西城区,57730,31753,34,49,1901,287,1028,1296,1525,5647,3521,1984,1352,2692,1751,327,1140,1680,1275,1581,2675,8,0.11,10.28,89.61
  崇文区,31554,14227,9,35,1306,192,444,1056,631,2869,985,918,670,1006,336,219,411,569,569,756,1238,8,0.06,13.90,86.04
  宣武区,48998,25854,14,31,2049,541,822,1599,1335,4970,2287,1482,1195,1908,1197,283,871,1043,986,1268,1964,9,0.05,13.32,86.63
  朝阳区,307622,184723,516,285,20121,1688,15350,11167,8355,43973,12292,6023,9022,12808,5798,2157,7209,7155,4222,7455,9015,112,0.28,20.27,79.45
  丰台区,180042,105696,485,30,13221,1139,6022,7708,3643,30222,5769,3507,4048,5333,3989,1504,3169,3747,3214,3184,5744,18,0.46,19.31,80.23
  石景山区,52890,29043,77,309,4918,687,2135,1768,1375,5261,1388,919,1106,1576,1171,327,883,1508,1088,1107,1436,4,0.27,27.71,72.02
  海淀区,272407,154628,1208,301,11732,1055,7455,5078,11615,35235,12818,4914,6173,9214,10404,1658,5072,13011,4508,5159,7985,33,0.78,13.29,85.93
  门头沟区,25523,11665,396,647,1575,189,707,1314,230,1749,545,242,387,380,128,147,225,637,429,161,1577,,3.39,26.73,69.88
  房山区,78742,42099,3707,776,7628,613,4335,4185,554,6267,1782,589,969,1266,692,293,1206,1820,1249,445,3723,,8.81,31.72,59.48
  通州区,107119,65310,6730,19,19378,473,4217,4045,1575,11219,1867,1193,1973,2832,585,563,1719,2110,1116,1380,2306,10,10.30,36.88,52.81
  顺义区,76941,49050,4348,41,14247,405,4715,5392,511,6118,2072,550,1347,1172,370,480,1652,1624,895,528,2581,2,8.86,39.57,51.57
  昌平区,137553,82902,2721,152,14143,505,6070,4021,5835,18828,4316,1622,3130,3682,2160,989,2265,4505,1808,1737,4403,10,3.28,25.17,71.54
  大兴区,111090,73983,11095,54,24495,511,5136,4508,1011,10459,2169,845,1251,2033,648,773,1639,2416,1241,912,2783,4,15.00,40.81,44.19
  怀柔区,31185,19499,2467,14,4424,210,2008,1485,159,2341,1220,260,267,329,127,281,463,798,412,218,2016,,12.65,34.14,53.21
  平谷区,35928,23031,7439,20,4310,176,1776,2123,183,2094,687,266,140,179,90,261,439,817,441,76,1514,,32.30,27.28,40.42
县,68199,41319,12049,501,5352,375,2881,3446,296,3684,1668,500,527,724,268,1726,756,1601,876,231,3858,,29.16,22.05,48.79
  密云县,40520,25071,7306,490,4168,220,2003,2023,167,2315,970,274,363,505,152,370,553,835,482,101,1774,,29.14,27.45,43.41
  延庆县,27679,16248,4743,11,1184,155,878,1423,129,1369,698,226,164,219,116,1356,203,766,394,130,2084,,29.19,13.71,57.10
,,,,,,,,,,,,,,,,,,,,,,,,,
天津市,992504,550787,112500,7692,148549,7104,49434,40218,5518,56293,16454,9660,8457,6151,4687,5449,14273,19380,10942,4237,23778,11,20.43,38.63,40.94
市辖区,846109,453050,62235,7500,131439,6378,43340,34804,5151,50412,14772,8883,8258,5873,4525,4993,12668,17077,9830,4032,20869,11,13.74,41.64,44.62
  和平区,20358,9128,23,30,1622,196,1055,474,202,1169,706,429,298,209,187,206,363,608,506,228,615,2,0.25,31.80,67.94
  河东区,72923,31056,102,171,9317,1262,1490,2685,651,4182,958,1079,897,570,660,672,919,1809,1240,476,1914,2,0.33,39.41,60.26
  河西区,70692,30696,109,108,7622,566,1360,2023,615,4625,1440,1460,1047,876,684,707,1128,1941,1315,709,2360,1,0.36,31.46,68.19
  南开区,80863,32538,160,175,8492,747,1311,1754,1157,4410,1248,1553,1091,720,783,630,951,2973,1632,725,2022,4,0.49,32.96,66.55
  河北区,59814,28228,246,83,7929,699,1332,2730,581,5236,1432,791,788,414,339,477,1617,1213,898,342,1080,1,0.87,35.58,63.55
  红桥区,44890,19145,116,73,5620,350,946,1240,365,4091,958,550,543,403,275,271,637,914,574,239,980,,0.61,36.51,62.89
  东丽区,50022,28101,1118,174,10504,215,4200,3466,148,3412,968,251,310,330,122,229,826,609,260,180,778,1,3.98,53.71,42.31
  西青区,59278,30421,1711,45,13809,201,2222,1402,310,2554,801,422,431,352,190,387,973,1057,379,233,2942,,5.62,53.51,40.87
  津南区,44239,25974,691,86,9556,220,5587,2225,130,2793,677,262,245,227,89,201,752,661,265,76,1231,,2.66,59.48,37.86
  北辰区,56303,26785,3535,51,10451,171,671,2760,189,3233,881,372,410,273,299,183,830,848,486,149,993,,13.20,42.35,44.45
  武清区,72680,52730,27125,109,12525,277,2732,1761,107,2885,680,279,284,175,34,122,464,1138,569,107,1357,,51.44,29.67,18.89
  宝坻区,61950,45086,23062,36,11412,152,2960,972,71,1891,417,223,140,109,31,91,482,1036,302,60,1639,,51.15,32.29,16.56
  滨海新区,152097,93162,4237,6359,22580,1322,17474,11312,625,9931,3606,1212,1774,1215,832,817,2726,2270,1404,508,2958,,4.55,51.24,44.21
县,146395,97737,50265,192,17110,726,6094,5414,367,5881,1682,777,199,278,162,456,1605,2303,1112,205,2909,,51.43,24.68,23.89
  宁河县,31540,20912,13044,17,2640,110,1047,843,54,986,257,126,33,34,25,67,290,525,234,40,540,,62.38,18.24,19.39
  静海县,50940,31478,13801,29,8880,179,793,1216,193,2179,634,330,42,109,82,99,420,734,383,77,1298,,43.84,31.39,24.77
