首发论坛：经济学家bbs.jjxj.org,,,,,,,,,,,,,,,,,单位：人
地    区,15岁及以上人口,,,未婚,,,有配偶,,,离婚,,,丧偶,,,15-64岁妇女,
,合计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,"平均活产
子女数","平均存活
子女数"
北京市,1683936,853989,829947,441592,240799,200793,1146869,583608,563261,31017,13352,17665,64458,16230,48228,0.83,0.83
市辖区,1614869,819204,795665,427722,232910,194812,1096159,558239,537920,30006,12813,17193,60982,15242,45740,0.82,0.81
  东城区,49542,23560,25982,10997,5795,5202,33848,16392,17456,1626,696,930,3071,677,2394,0.74,0.73
  西城区,58123,28286,29837,15276,8036,7240,38126,18849,19277,1732,729,1003,2989,672,2317,0.72,0.72
  崇文区,31758,15160,16598,6816,3500,3316,21855,10729,11126,1147,492,655,1940,439,1501,0.74,0.74
  宣武区,49324,23953,25371,11443,5961,5482,33611,16693,16918,1567,656,911,2703,643,2060,0.73,0.73
  朝阳区,309103,156454,152649,84417,44036,40381,208793,107555,101238,5778,2314,3464,10115,2549,7566,0.73,0.73
  丰台区,181025,90590,90435,40035,21385,18650,130302,65983,64319,3802,1590,2212,6886,1632,5254,0.82,0.82
  石景山区,53195,26915,26280,12156,6865,5291,37461,18976,18485,1307,567,740,2271,507,1764,0.80,0.79
  海淀区,273966,138947,135019,101234,55048,46186,160400,80346,80054,4520,1794,2726,7812,1759,6053,0.64,0.63
  门头沟区,25793,13023,12770,4516,2622,1894,19032,9660,9372,647,330,317,1598,411,1187,1.04,1.03
  房山区,79503,40019,39484,15897,8855,7042,58266,29397,28869,1386,673,713,3954,1094,2860,1.11,1.10
  通州区,107839,55246,52593,25508,13891,11617,76907,39659,37248,1451,640,811,3973,1056,2917,0.91,0.90
  顺义区,77492,40280,37212,17488,10037,7451,56035,28976,27059,901,420,481,3068,847,2221,1.03,1.02
  昌平区,138326,72227,66099,40483,22694,17789,92016,47714,44302,1884,800,1084,3943,1019,2924,0.79,0.79
  大兴区,111902,59783,52119,28778,16718,12060,78526,41510,37016,1281,602,679,3317,953,2364,0.98,0.98
  怀柔区,31580,16309,15271,5739,3418,2321,23918,12212,11706,522,267,255,1401,412,989,1.10,1.09
  平谷区,36398,18452,17946,6939,4049,2890,27063,13588,13475,455,243,212,1941,572,1369,1.28,1.27
县,69067,34785,34282,13870,7889,5981,50710,25369,25341,1011,539,472,3476,988,2488,1.15,1.14
  密云县,41066,20586,20480,7117,4107,3010,31193,15621,15572,547,272,275,2209,586,1623,1.15,1.14
  延庆县,28001,14199,13802,6753,3782,2971,19517,9748,9769,464,267,197,1267,402,865,1.14,1.13
,,,,,,,,,,,,,,,,,
天津市,1002376,514860,487516,230422,128591,101831,709067,365306,343761,15442,7162,8280,47445,13801,33644,0.98,0.97
市辖区,853545,439410,414135,205562,114000,91562,593813,307670,286143,14008,6320,7688,40162,11420,28742,0.90,0.89
  和平区,20511,10010,10501,4807,2685,2122,13656,6747,6909,563,221,342,1485,357,1128,0.78,0.78
  河东区,73443,36274,37169,15293,8432,6861,52358,26024,26334,1505,662,843,4287,1156,3131,0.80,0.79
  河西区,71168,34052,37116,18223,8909,9314,47186,23394,23792,1669,664,1005,4090,1085,3005,0.71,0.70
  南开区,81348,39929,41419,21840,11493,10347,53509,26575,26934,1536,618,918,4463,1243,3220,0.71,0.70
  河北区,60175,30195,29980,13679,7592,6087,41616,21124,20492,1224,539,685,3656,940,2716,0.77,0.77
  红桥区,45150,22623,22527,11289,6219,5070,30136,15221,14915,866,396,470,2859,787,2072,0.75,0.75
  东丽区,50432,27992,22440,12219,8068,4151,35622,18996,16626,754,369,385,1837,559,1278,1.01,1.00
  西青区,59847,29471,30376,20463,9517,10946,36880,19117,17763,611,298,313,1893,539,1354,0.77,0.77
  津南区,44724,24122,20602,9166,5199,3967,33360,18189,15171,514,236,278,1684,498,1186,1.06,1.05
  北辰区,56748,29141,27607,14636,8310,6326,38678,19635,19043,913,450,463,2521,746,1775,0.89,0.88
  武清区,73616,37412,36204,12071,6933,5138,57042,28850,28192,723,456,267,3780,1173,2607,1.22,1.22
  宝坻区,62957,33169,29788,13481,7960,5521,46285,23968,22317,491,311,180,2700,930,1770,1.29,1.28
  滨海新区,153426,85020,68406,38395,22683,15712,107485,59830,47655,2639,1100,1539,4907,1407,3500,0.92,0.91
县,148831,75450,73381,24860,14591,10269,115254,57636,57618,1434,842,592,7283,2381,4902,1.41,1.39
  宁河县,31984,16267,15717,5550,3226,2324,24709,12416,12293,312,165,147,1413,460,953,1.39,1.37
  静海县,51790,26350,25440,8622,5054,3568,40286,20282,20004,486,253,233,2396,761,1635,1.34,1.33
  蓟县,65057,32833,32224,10688,6311,4377,50259,24938,25321,636,424,212,3474,1160,2314,1.47,1.46
,,,,,,,,,,,,,,,,,
河北省,5834172,2908777,2925395,1190621,659464,531157,4287295,2119688,2167607,55677,34094,21583,300579,95531,205048,1.37,1.36
石家庄市,833008,410983,422025,189028,100089,88939,594011,293996,300015,7428,4360,3068,42541,12538,30003,1.27,1.27
  长安区,40085,19402,20683,8726,4178,4548,28841,14481,14360,599,260,339,1919,483,1436,0.91,0.90
  桥东区,31571,15735,15836,7401,4036,3365,22383,11161,11222,481,193,288,1306,345,961,0.86,0.85
  桥西区,49844,23208,26636,14230,6215,8015,33452,16438,17014,534,180,354,1628,375,1253,0.77,0.76
  新华区,48931,23450,25481,11355,5319,6036,35253,17477,17776,647,234,413,1676,420,1256,0.86,0.86
  井陉矿区,7787,3881,3906,1207,711,496,5957,2974,2983,103,46,57,520,150,370,1.26,1.24
  裕华区,52550,25865,26685,15779,7903,7876,34600,17350,17250,516,190,326,1655,422,1233,0.82,0.81
  井陉县,25226,12758,12468,5090,3104,1986,18056,8854,9202,291,209,82,1789,591,1198,1.53,1.51
  正定县,39259,19242,20017,9414,4896,4518,27428,13567,13861,259,177,82,2158,602,1556,1.29,1.28
  栾城县,29949,14747,15202,7950,4234,3716,20228,9970,10258,189,125,64,1582,418,1164,1.34,1.33
  行唐县,31969,15840,16129,6239,3440,2799,23481,11576,11905,231,181,50,2018,643,1375,1.59,1.58
  灵寿县,26409,13288,13121,6514,3491,3023,18311,9177,9134,192,154,38,1392,466,926,1.46,1.45
  高邑县,15334,7627,7707,3054,1705,1349,11374,5629,5745,103,72,31,803,221,582,1.52,1.50
  深泽县,19620,9829,9791,3256,1871,1385,15072,7473,7599,158,100,58,1134,385,749,1.50,1.49
  赞皇县,20328,10244,10084,4598,2614,1984,14479,7134,7345,123,83,40,1128,413,715,1.66,1.64
  无极县,40111,19868,20243,7424,4213,3211,30103,14767,15336,270,205,65,2314,683,1631,1.50,1.48
  平山县,34806,17645,17161,6838,4181,2657,25503,12501,13002,311,237,74,2154,726,1428,1.59,1.57
  元氏县,33994,16787,17207,8404,4487,3917,23504,11564,11940,228,174,54,1858,562,1296,1.50,1.49
  赵县,47183,23691,23492,10716,6058,4658,33572,16570,17002,305,231,74,2590,832,1758,1.52,1.51
  辛集市,52376,25902,26474,8952,4944,4008,39986,19802,20184,445,289,156,2993,867,2126,1.35,1.34
  藁城市,65174,32327,32847,14924,8013,6911,46011,22890,23121,440,314,126,3799,1110,2689,1.36,1.35
  晋州市,45872,22865,23007,9324,5209,4115,33891,16704,17187,351,251,100,2306,701,1605,1.41,1.40
  新乐市,38294,18970,19324,8401,4470,3931,27593,13627,13966,371,274,97,1929,599,1330,1.49,1.48
  鹿泉市,36336,17812,18524,9232,4797,4435,24933,12310,12623,281,181,100,1890,524,1366,1.25,1.24
唐山市,635079,320636,314443,114842,65622,49220,480639,240022,240617,7955,4338,3617,31643,10654,20989,1.23,1.22
  路南区,27102,13721,13381,5576,3033,2543,19686,10064,9622,554,254,300,1286,370,916,0.99,0.98
  路北区,64478,31690,32788,15131,7856,7275,45452,22579,22873,1337,528,809,2558,727,1831,0.82,0.82
  古冶区,31612,15782,15830,4799,2678,2121,24149,12192,11957,673,353,320,1991,559,1432,1.06,1.05
  开平区,22507,11275,11232,3333,1849,1484,17644,8894,8750,414,203,211,1116,329,787,1.13,1.11
  丰润区,50037,25258,24779,9345,5236,4109,37867,18872,18995,532,306,226,2293,844,1449,1.25,1.24
  丰南区,75770,38150,37620,11768,6878,4890,58953,29318,29635,1002,554,448,4047,1400,2647,1.29,1.28
  滦县,46291,23538,22753,8442,4968,3474,34897,17359,17538,452,303,149,2500,908,1592,1.38,1.37
  滦南县,48630,24404,24226,7400,4305,3095,38109,18855,19254,466,299,167,2655,945,1710,1.31,1.30
  乐亭县,44259,22414,21845,7230,4240,2990,34453,17180,17273,400,259,141,2176,735,1441,1.18,1.17
  迁西县,31338,15767,15571,5364,3201,2163,24056,11861,12195,243,138,105,1675,567,1108,1.43,1.42
  玉田县,57144,28957,28187,9759,5781,3978,44026,21752,22274,561,367,194,2798,1057,1741,1.37,1.36
  唐海县,16288,9320,6968,3565,2338,1227,11943,6692,5251,182,99,83,598,191,407,1.12,1.11
  遵化市,60957,30572,30385,11383,6398,4985,45858,22737,23121,611,372,239,3105,1065,2040,1.36,1.35
  迁安市,58666,29788,28878,11747,6861,4886,43546,21667,21879,528,303,225,2845,957,1888,1.38,1.37
秦皇岛市,251792,126313,125479,49950,28048,21902,186095,92312,93783,3562,1807,1755,12185,4146,8039,1.20,1.19
  海港区,65698,32393,33305,16872,8825,8047,45176,22457,22719,1349,485,864,2301,626,1675,0.84,0.83
  山海关区,14847,7588,7259,2562,1559,1003,11203,5653,5550,352,180,172,730,196,534,1.03,1.02
  北戴河区,7560,3399,4161,2281,856,1425,4848,2422,2426,142,63,79,289,58,231,0.77,0.76
  青龙满族自治县,40710,20970,19740,7332,4594,2738,30730,15233,15497,331,227,104,2317,916,1401,1.58,1.56
  昌黎县,47010,23667,23343,7954,4603,3351,35971,17796,18175,593,360,233,2492,908,1584,1.27,1.26
  抚宁县,44187,22249,21938,7953,4557,3396,33492,16636,16856,485,283,202,2257,773,1484,1.31,1.30
  卢龙县,31780,16047,15733,4996,3054,1942,24675,12115,12560,310,209,101,1799,669,1130,1.44,1.43
邯郸市,705400,345570,359830,148253,79473,68780,513761,250960,262801,5407,3449,1958,37979,11688,26291,1.53,1.52
  邯山区,31530,15508,16022,7823,4170,3653,22061,10863,11198,375,155,220,1271,320,951,0.99,0.99
  丛台区,27673,13323,14350,4785,2404,2381,21220,10473,10747,413,173,240,1255,273,982,0.99,0.99
  复兴区,15164,7582,7582,2662,1475,1187,11596,5840,5756,229,85,144,677,182,495,1.08,1.07
  峰峰矿区,39769,19808,19961,7968,4376,3592,28926,14469,14457,495,282,213,2380,681,1699,1.23,1.22
  邯郸县,36832,18209,18623,7760,4130,3630,27023,13444,13579,274,163,111,1775,472,1303,1.53,1.52
  临漳县,45957,21582,24375,9502,4962,4540,33570,15531,18039,312,230,82,2573,859,1714,1.61,1.60
  成安县,28172,13118,15054,5153,2644,2509,21210,9866,11344,181,128,53,1628,480,1148,1.71,1.70
  大名县,56865,27619,29246,11130,5751,5379,42331,20657,21674,324,226,98,3080,985,2095,1.66,1.64
  涉县,33151,16720,16431,8318,4763,3555,22551,11093,11458,273,184,89,2009,680,1329,1.49,1.47
  磁县,53803,26437,27366,11408,6142,5266,39016,19067,19949,437,321,116,2942,907,2035,1.60,1.59
  肥乡县,26825,13483,13342,5979,3179,2800,19409,9727,9682,170,124,46,1267,453,814,1.55,1.54
  永年县,70252,35020,35232,15486,8537,6949,50411,24868,25543,509,369,140,3846,1246,2600,1.71,1.70
  邱县,17119,8281,8838,3341,1723,1618,12762,6243,6519,97,62,35,919,253,666,1.67,1.65
  鸡泽县,21129,10497,10632,4752,2571,2181,15209,7465,7744,100,85,15,1068,376,692,1.76,1.74
  广平县,21832,10474,11358,4608,2347,2261,15860,7631,8229,136,92,44,1228,404,824,1.57,1.56
  馆陶县,22510,10875,11635,4137,2200,1937,17004,8204,8800,112,79,33,1257,392,865,1.73,1.71
  魏县,60047,28998,31049,13014,6770,6244,43560,20900,22660,316,252,64,3157,1076,2081,1.58,1.57
  曲周县,32590,16089,16501,6652,3649,3003,23965,11779,12186,182,126,56,1791,535,1256,1.73,1.72
  武安市,64180,31947,32233,13775,7680,6095,46077,22840,23237,472,313,159,3856,1114,2742,1.50,1.48
邢台市,567297,281324,285973,123545,67625,55920,409526,201930,207596,4113,2841,1272,30113,8928,21185,1.48,1.47
  桥东区,22280,10708,11572,5432,2574,2858,15649,7791,7858,314,142,172,885,201,684,0.99,0.98
  桥西区,31276,15453,15823,6683,3509,3174,23232,11553,11679,349,138,211,1012,253,759,1.08,1.07
  邢台县,37854,19008,18846,7862,4563,3299,27433,13533,13900,303,215,88,2256,697,1559,1.54,1.52
  临城县,16499,8279,8220,3448,1934,1514,12070,5964,6106,155,119,36,826,262,564,1.49,1.48
  内邱县,21342,10575,10767,4335,2444,1891,15692,7658,8034,161,120,41,1154,353,801,1.50,1.49
  柏乡县,15051,7397,7654,2990,1658,1332,11129,5431,5698,94,73,21,838,235,603,1.59,1.57
  隆尧县,39915,19810,20105,8844,4810,4034,28759,14175,14584,259,205,54,2053,620,1433,1.42,1.41
  任县,26210,13043,13167,5418,3064,2354,19267,9462,9805,160,119,41,1365,398,967,1.60,1.58
  南和县,26172,13009,13163,6042,3318,2724,18608,9133,9475,165,126,39,1357,432,925,1.61,1.60
  宁晋县,61237,30360,30877,13097,7423,5674,44120,21597,22523,471,354,117,3549,986,2563,1.50,1.49
  巨鹿县,29126,14422,14704,6281,3402,2879,21049,10358,10691,216,166,50,1580,496,1084,1.52,1.51
  新河县,13633,6672,6961,2891,1567,1324,9799,4781,5018,98,75,23,845,249,596,1.36,1.35
  广宗县,21850,10681,11169,4137,2211,1926,16437,8033,8404,117,76,41,1159,361,798,1.69,1.67
  平乡县,24319,12260,12059,5252,2848,2404,17788,8865,8923,156,121,35,1123,426,697,1.64,1.63
  威县,43460,21564,21896,9550,5179,4371,31159,15456,15703,213,163,50,2538,766,1772,1.48,1.47
  清河县,30897,15392,15505,6527,3645,2882,22634,11195,11439,171,112,59,1565,440,1125,1.58,1.57
  临西县,26287,13091,13196,5259,2919,2340,19415,9632,9783,139,109,30,1474,431,1043,1.60,1.58
  南宫市,40147,19977,20170,9405,5128,4277,27983,13887,14096,295,206,89,2464,756,1708,1.31,1.30
  沙河市,39742,19623,20119,10092,5429,4663,27303,13426,13877,277,202,75,2070,566,1504,1.64,1.63
保定市,906854,451022,455832,184902,102783,82119,666590,327640,338950,8279,5322,2957,47083,15277,31806,1.39,1.38
  新市区,38992,18981,20011,7000,3611,3389,29745,14671,15074,597,246,351,1650,453,1197,0.98,0.98
  北市区,33979,16372,17607,12901,6369,6532,19536,9590,9946,405,144,261,1137,269,868,0.70,0.69
  南市区,24864,11923,12941,8363,4054,4309,15274,7558,7716,266,97,169,961,214,747,0.82,0.81
  满城县,31947,16119,15828,5910,3384,2526,24167,12028,12139,213,137,76,1657,570,1087,1.50,1.49
  清苑县,52069,26183,25886,10149,5769,4380,38978,19297,19681,430,309,121,2512,808,1704,1.46,1.45
  涞水县,28660,14528,14132,6089,3458,2631,20792,10351,10441,275,204,71,1504,515,989,1.33,1.32
  阜平县,15620,7931,7689,2799,1720,1079,11600,5708,5892,173,127,46,1048,376,672,1.65,1.64
  徐水县,46169,23024,23145,8277,4696,3581,35187,17401,17786,326,218,108,2379,709,1670,1.47,1.46
  定兴县,42581,20921,21660,8918,5094,3824,30974,14824,16150,327,249,78,2362,754,1608,1.48,1.46
  唐县,40979,19636,21343,7701,4167,3534,30423,14369,16054,302,240,62,2553,860,1693,1.58,1.57
  高阳县,28409,14107,14302,4999,2759,2240,21670,10727,10943,307,198,109,1433,423,1010,1.43,1.42
  容城县,20258,10079,10179,3635,2007,1628,15428,7605,7823,166,118,48,1029,349,680,1.48,1.47
  涞源县,21305,11146,10159,4338,2764,1574,15451,7696,7755,357,260,97,1159,426,733,1.53,1.51
