首发论坛：经济学家bbs.jjxj.org,,,,,,,,,,,,,,,,
地    区,全部数据,,,长表数据,,,,,,,,,,,,
,家庭户,"平均每户
住房间数
（间/户）","人均住房
建筑面积
（平方米/人）",家庭户,住房内有无管道自来水,,住房内有无厨房,,住房内有无厕所,,住房内有无洗澡设施,,住房来源,,,
,,,,,有,无,有,无,有,无,有,无,租赁,自建,购买,其他
北京市,6680552,2.33,29.28,655178,575287,79891,548624,106554,524039,131139,494084,161094,223488,108408,286449,36833
市辖区,6394889,2.31,29.20,626591,547700,78891,521869,104722,497720,128871,472333,154258,220124,91945,278257,36265
  东城区,190192,1.87,18.63,19880,18825,1055,17459,2421,11845,8035,15485,4395,9177,901,9071,731
  西城区,228304,1.94,22.00,21702,21690,12,19351,2351,17751,3951,17530,4172,8716,708,10864,1414
  崇文区,124210,1.86,23.81,13028,11754,1274,11112,1916,9781,3247,9902,3126,4248,547,7579,654
  宣武区,212781,1.80,23.54,20245,18830,1415,16584,3661,15247,4998,15685,4560,7841,294,10606,1504
  朝阳区,1317845,1.99,29.53,128755,106341,22414,105057,23698,98191,30564,96624,32131,49393,4948,66868,7546
  丰台区,795168,2.04,26.80,76260,64712,11548,61609,14651,58738,17522,57668,18592,30998,4596,34837,5829
  石景山区,219907,1.96,25.08,21335,18824,2511,17963,3372,17284,4051,17038,4297,6597,818,12651,1269
  海淀区,976376,2.17,28.51,95449,85421,10028,78875,16574,77570,17879,73381,22068,38924,5374,47564,3587
  门头沟区,107009,2.64,26.34,10972,10121,851,9037,1935,6320,4652,7415,3557,2816,4033,3559,564
  房山区,314012,2.78,33.30,30458,26914,3544,27611,2847,27230,3228,21425,9033,4915,14047,10323,1173
  通州区,419109,2.73,33.40,41828,33685,8143,35279,6549,33565,8263,33037,8791,10729,12376,13795,4928
  顺义区,294614,3.41,33.24,29728,28892,836,25284,4444,27928,1800,22773,6955,9264,10934,8150,1380
  昌平区,496867,2.58,34.54,50534,43155,7379,41199,9335,41322,9212,36645,13889,18011,8459,21706,2358
  大兴区,425156,2.90,33.75,39542,31973,7569,30459,9083,29615,9927,25950,13592,13793,9476,13556,2717
  怀柔区,135644,2.45,30.10,13229,13009,220,11716,1513,11836,1393,8970,4259,3432,5758,3548,491
  平谷区,137695,2.81,27.75,13646,13554,92,13274,372,13497,149,12805,841,1270,8676,3580,120
县,285663,2.86,31.01,28587,27587,1000,26755,1832,26319,2268,21751,6836,3364,16463,8192,568
  密云县,179493,2.52,32.32,17989,17073,916,16587,1402,16693,1296,15175,2814,2391,10124,5064,410
  延庆县,106170,3.44,29.03,10598,10514,84,10168,430,9626,972,6576,4022,973,6339,3128,158
,,,,,,,,,,,,,,,,
天津市,3661992,2.24,26.07,355868,323419,32449,317875,37993,271497,84371,279492,76376,78407,107398,145719,24344
市辖区,3108605,2.07,25.74,300734,278581,22153,271156,29578,241480,59254,243908,56826,75530,63927,137553,23724
  和平区,90152,1.57,20.67,8136,7568,568,7123,1013,7283,853,6351,1785,2001,18,2306,3811
  河东区,310544,1.68,23.90,29374,29111,263,28741,633,28441,933,26916,2458,9792,107,18486,989
  河西区,293578,1.77,24.42,27088,26924,164,26613,475,26451,637,24782,2306,13551,101,12284,1152
  南开区,312388,1.81,26.71,30312,30071,241,29920,392,29980,332,28717,1595,12249,59,16454,1550
  河北区,250192,1.58,21.33,22412,22088,324,21437,975,21330,1082,20265,2147,6805,252,12561,2794
  红桥区,173507,1.62,22.30,16704,16332,372,15331,1373,14753,1951,13598,3106,5361,1001,9151,1191
