各省常住人口地区分布（单位万人）,,,,,,,,,
,,,,,,,,,
山东,济南市,青岛市,淄博市,枣庄市,东营市,烟台市,潍坊市,济宁市,泰安市
,681.4,871.51,453.06,372.93,203.53,696.82,908.62,808.19,549.42
,威海市,日照市,莱芜市,临沂市,德州市,聊城市,滨州市,菏泽市,
,280.48,280.11,129.85,1003.94,556.82,578.99,374.85,828.78,
北京,东城区,西城区,朝阳区,丰台区,石景山区,海淀区,门头沟区,房山区,通州区
,91.9,124.3,354.5,211.2,61.6,328.1,29,94.5,118.4
,顺义区,昌平区,大兴区,怀柔区,平谷区,密云县,延庆县,,
,87.7,166.1,136.5,37.3,41.6,46.8,31.7,,
天津市,和平区,河东区,河西区,南开区,河北区,红桥区,东丽区,西青区,津南区
,27.3,86.09,867,101.82,78.84,53.15,56.99,68.47,59.31
,北辰区,武清区,宝坻区,滨海新区,宁河县,静海县,蓟县,,
,66.9,94.94,79.9,248.2,41.61,64.7,78.48,,
河北,石家庄市,唐山市,秦皇岛市,邯郸市,邢台市,保定市,张家口市,承德市,沧州市
,1016.4,757.73,298.76,917.5,710.4,1119.4,434.5,347.4,713.4
,廊坊市,衡水市,,,,,,,
,435.89,434.1,,,,,,,
广东省,广州市,深圳市,珠海市,汕头市,佛山市,韶关市,河源市,梅州市,惠州市
,1270.1,1035.8,156,539.1,719.4,282.66,295.3,424,459.7
,汕尾市,东莞市,中山市,江门市,阳江市,湛江市,茂名市,肇庆市,清远市
,293.57,822,312.1,444.9,242.18,699.3,581.77,391.8,369.8
,潮州市,揭阳市,云浮市,,,,,,
,266.98,587.7,236,,,,,,
浙江省,杭州市,宁波市,温州市,嘉兴市,湖州市,绍兴市,金华市,衢州市,舟山市
,870.04,760.57,912.21,450.17,289.35,491.22,536.16,212.27,112.13
,台州市,丽水市,,,,,,,
,596.88,211.7,,,,,,,
河南省,郑州市,开封市,洛阳市,南阳市,安阳市,鹤壁市,新乡市,焦作市,濮阳市
,862.65,467.62,654.95,1026.3,517.28,156.91,570.78,353.99,359.85
,许昌市,漯河市,三门峡市,平顶山市,商丘市,信阳市,周口市,驻马店市,济源市
,430.72,254.4,223.4,490.43,736.25,610.87,895.3,723.07,67.57
江苏省,南京市,无锡市,徐州市,常州市,苏州市,南通市,连云港,淮安市,盐城市
,800.47,637.26,858.05,459.2,1046.59,728.28,439.39,479.99,726.02
,扬州市,镇江市,泰州市,宿迁市,,,,,
,445.98,311.34,461.86,471.55,,,,,
广西省,南宁市,柳州市,桂林市,梧州市,北海市,防城港市,钦州市,贵港市,玉林市
,666.16,375.87,474.8,288.22,153.93,86.69,307.97,411.88,548.74
,百色市,贺州市,河池市,来宾市,崇左市,,,,
,346.68,195.41,336.92,209.97,199.43,,,,
四川省,成都市,自贡市,攀枝花,泸州市,德阳市,绵阳市,广元市,遂宁市,内江市
,1401.75,257.89,121.41,421.84,361.58,451.39,248.41,325.26,370.28
,乐山市,南充市,眉山市,宜宾市,广安市,达州市,雅安市,巴中市,资阳市
,323.58,627.86,295.05,447.2,320.55,546.81,150.73,328.38,366.5
,阿坝州,甘孜州,凉山州,,,,,,
,89.87,109.19,453.29,,,,,,
重庆市,渝中区,大渡口区,江北区,沙坪坝区,南岸区,北碚区,渝北区,巴南区,万盛区
,63.01,30.1,73.8,100,75.96,68.04,134.54,91.87,25.58
,九龙坡区,双桥区,涪陵区,长寿区,江津区,合川区,永川区,南川区,綦江县
,108.44,5.01,106.67,77,123.31,129.3,102.47,53.43,80.1
,潼南县,铜梁县,大足县,荣昌县,璧山县,渝东北翼,万州区,梁平县,城口县
,64,60.01,67.12,66.13,58.6,836.54,156.31,68.75,19.3
,丰都县,垫江县,忠县,开县,云阳县,奉节县,巫山县,巫溪县,渝东南翼
,64.92,70.45,75.14,116.03,91.29,83.43,49.51,41.41,283.59
,黔江区,武隆县,石柱土家族自治县,秀山土家族苗族自治县,酉阳土家族苗族自治县,彭水苗族土家族自治县,,,
,44.5,35.1,41.51,50.16,57.81,54.51,,,
山西省,太原市,大同市,阳泉市,长治市,晋城市,朔州市,晋中市,运城市,忻州市
,420.16,331.81,136.85,333.46,227.92,171.49,324.94,513.48,306.75
,临汾市,吕梁市,,,,,,,
,431.66,372.7,,,,,,,
上海市,黄浦区,闵行区,卢湾区,宝山区,徐汇区,嘉定区,长宁区,浦东新区,静安区
,,,,,,,,,
,42.99,242.94,24.88,190.49,108.51,147.12,69.06,504.44,24.68
,金山区,普陀区,松江区,闸北区,青浦区,虹口区,奉贤区,杨浦区,崇明县
,73.24,128.89,158.24,83.04,108.1,85.25,108.35,131.32,70.37
吉林省,长春市,吉林市,四平市,辽源市,通货市,白山市,松原市,白城市,延边州
,767.71,441.47,338.63,117.66,232.52,129.66,288.11,203.31,227.16
黑龙江省,哈尔滨市,齐齐哈尔,鸡西市,鹤岗市,双鸭山市,大庆市,伊春市,佳木斯市,七台河市
,1063.6,536.7,186.2,105.87,146.26,290.45,1148.12,255.21,92.04
,牡丹江市,黑河市,绥化市,大兴安岭行署,,,,,
,279.87,167.39,541.64,51.16,,,,,
陕西省,西安市,铜川市,宝鸡市,咸阳市,谓南市,延安市,汉中市,渝林市,安康市
,846.78,834.43,371.67,489.48,528.61,218.7,341.62,335.14,262.99
,商洛市,杨凌示范区,,,,,,,
,234.17,20.12,,,,,,,
