指标名称,抽样数:占总人口比例:0-4岁,抽样数:占总人口比例:5-9岁,抽样数:占总人口比例:10-14岁,抽样数:占总人口比例:15-19岁,抽样数:占总人口比例:20-24岁,抽样数:占总人口比例:25-29岁,抽样数:占总人口比例:30-34岁,抽样数:占总人口比例:35-39岁,抽样数:占总人口比例:40-44岁,抽样数:占总人口比例:45-49岁,抽样数:占总人口比例:50-54岁,抽样数:占总人口比例:55-59岁,抽样数:占总人口比例:60-64岁,抽样数:占总人口比例:65-69岁,抽样数:占总人口比例:70-74岁,抽样数:占总人口比例:75-79岁,抽样数:占总人口比例:80-84岁,抽样数:占总人口比例:85-89岁,抽样数:占总人口比例:90-94岁,抽样数:占总人口比例:95岁以上,抽样数:占总人口比例:男性:0-4岁,抽样数:占总人口比例:男性:5-9岁,抽样数:占总人口比例:男性:10-14岁,抽样数:占总人口比例:男性:15-19岁,抽样数:占总人口比例:男性:20-24岁,抽样数:占总人口比例:男性:25-29岁,抽样数:占总人口比例:男性:30-34岁,抽样数:占总人口比例:男性:35-39岁,抽样数:占总人口比例:男性:40-44岁,抽样数:占总人口比例:男性:45-49岁,抽样数:占总人口比例:男性:50-54岁,抽样数:占总人口比例:男性:55-59岁,抽样数:占总人口比例:男性:60-64岁,抽样数:占总人口比例:男性:65-69岁,抽样数:占总人口比例:男性:70-74岁,抽样数:占总人口比例:男性:75-79岁,抽样数:占总人口比例:男性:80-84岁,抽样数:占总人口比例:男性:85-89岁,抽样数:占总人口比例:男性:90-94岁,抽样数:占总人口比例:男性:95岁以上,抽样数:占总人口比例:女性:0-4岁,抽样数:占总人口比例:女性:5-9岁,抽样数:占总人口比例:女性:10-14岁,抽样数:占总人口比例:女性:15-19岁,抽样数:占总人口比例:女性:20-24岁,抽样数:占总人口比例:女性:25-29岁,抽样数:占总人口比例:女性:30-34岁,抽样数:占总人口比例:女性:35-39岁,抽样数:占总人口比例:女性:40-44岁,抽样数:占总人口比例:女性:45-49岁,抽样数:占总人口比例:女性:50-54岁,抽样数:占总人口比例:女性:55-59岁,抽样数:占总人口比例:女性:60-64岁,抽样数:占总人口比例:女性:65-69岁,抽样数:占总人口比例:女性:70-74岁,抽样数:占总人口比例:女性:75-79岁,抽样数:占总人口比例:女性:80-84岁,抽样数:占总人口比例:女性:85-89岁,抽样数:占总人口比例:女性:90-94岁,抽样数:占总人口比例:女性:95岁以上,总人口,总人口,
频率,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,
单位,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,万人,万人,
1949-12-31 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54167,
1950-12-31 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55196,
1951-12-31 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56300,
1952-12-31 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57482,
1953-12-31 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59435,58796,
1954-12-31 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60266,
1955-12-31 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61465,
1956-12-31 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62828,
1957-12-31 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64653,
1958-12-31 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65994,
1959-12-31 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67207,
1960-12-31 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66207,
1961-12-31 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65859,
1962-12-31 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67295,
1963-12-31 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69172,
1964-12-31 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69458,70499,
1965-12-31 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72538,
1966-12-31 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74542,
1967-12-31 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76368,
1968-12-31 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78534,
1969-12-31 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80671,
1970-12-31 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82992,
1971-12-31 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85229,
1972-12-31 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87177,
1973-12-31 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89211,
1974-12-31 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90859,
1975-12-31 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92420,
1976-12-31 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93717,
1977-12-31 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94974,
1978-12-31 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96259,
1979-12-31 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97542,
