指标名称,出生人数,
频率,年,
单位,万人,
1949-12-31 00:00:00,1950,
1950-12-31 00:00:00,2042,
1951-12-31 00:00:00,2128,
1952-12-31 00:00:00,2127,
1953-12-31 00:00:00,2175,
1954-12-31 00:00:00,2288,
1955-12-31 00:00:00,2004,
1956-12-31 00:00:00,2004,64.0
1957-12-31 00:00:00,2200,63.0
1958-12-31 00:00:00,1928,62.0
1959-12-31 00:00:00,1665,61.0
1960-12-31 00:00:00,1381,60.0
1961-12-31 00:00:00,1187,59.0
1962-12-31 00:00:00,2491,58.0
1963-12-31 00:00:00,3000,57.0
1964-12-31 00:00:00,2759,56.0
1965-12-31 00:00:00,2748,55.0
1966-12-31 00:00:00,2795,54.0
1967-12-31 00:00:00,2593,53.0
1968-12-31 00:00:00,2795,52.0
1969-12-31 00:00:00,2752,51.0
1970-12-31 00:00:00,2774,50.0
1971-12-31 00:00:00,2612,49.0
1972-12-31 00:00:00,2595,48.0
1973-12-31 00:00:00,2491,47.0
1974-12-31 00:00:00,2255,46.0
1975-12-31 00:00:00,2126,45.0
1976-12-31 00:00:00,1866,44.0
1977-12-31 00:00:00,1798,43.0
1978-12-31 00:00:00,1757,42.0
1979-12-31 00:00:00,1738,41.0
1980-12-31 00:00:00,1797,40.0
1981-12-31 00:00:00,2092,39.0
1982-12-31 00:00:00,2265,38.0
1983-12-31 00:00:00,2080,37.0
1984-12-31 00:00:00,2077,36.0
1985-12-31 00:00:00,2227,35.0
1986-12-31 00:00:00,2411,34.0
1987-12-31 00:00:00,2550,33.0
1988-12-31 00:00:00,2307,32.0
1989-12-31 00:00:00,2432,31.0
1990-12-31 00:00:00,2391,30.0
1991-12-31 00:00:00,2258,29.0
1992-12-31 00:00:00,2119,28.0
1993-12-31 00:00:00,2126,27.0
1994-12-31 00:00:00,2104,26.0
1995-12-31 00:00:00,2063,25.0
1996-12-31 00:00:00,2067,24.0
1997-12-31 00:00:00,2038,23.0
1998-12-31 00:00:00,1991,22.0
1999-12-31 00:00:00,1909,21.0
2000-12-31 00:00:00,1771,20.0
2001-12-31 00:00:00,1702,19.0
2002-12-31 00:00:00,1647,18.0
2003-12-31 00:00:00,1599,17.0
2004-12-31 00:00:00,1593,16.0
2005-12-31 00:00:00,1617,15.0
2006-12-31 00:00:00,1584,14.0
2007-12-31 00:00:00,1594,13.0
2008-12-31 00:00:00,1608,12.0
2009-12-31 00:00:00,1615,11.0
2010-12-31 00:00:00,1588,10.0
2011-12-31 00:00:00,1604,9.0
2012-12-31 00:00:00,1635,8.0
2013-12-31 00:00:00,1640,7.0
2014-12-31 00:00:00,1687,6.0
2015-12-31 00:00:00,1655,5.0
2016-12-31 00:00:00,1786,4.0
2017-12-31 00:00:00,1723,3.0
2018-12-31 00:00:00,1523,2.0
2019-12-31 00:00:00,1465,1.0
,1440,0.0
