指标名称,抽样数:占总人口比例:0-4岁,抽样数:占总人口比例:5-9岁,抽样数:占总人口比例:10-14岁,抽样数:占总人口比例:15-19岁,抽样数:占总人口比例:20-24岁,抽样数:占总人口比例:25-29岁,抽样数:占总人口比例:30-34岁,抽样数:占总人口比例:35-39岁,抽样数:占总人口比例:40-44岁,抽样数:占总人口比例:45-49岁,抽样数:占总人口比例:50-54岁,抽样数:占总人口比例:55-59岁,抽样数:占总人口比例:60-64岁,抽样数:占总人口比例:65-69岁,抽样数:占总人口比例:70-74岁,抽样数:占总人口比例:75-79岁,抽样数:占总人口比例:80-84岁,抽样数:占总人口比例:85-89岁,抽样数:占总人口比例:90-94岁,抽样数:占总人口比例:95岁以上,抽样数:占总人口比例:男性:0-4岁,抽样数:占总人口比例:男性:5-9岁,抽样数:占总人口比例:男性:10-14岁,抽样数:占总人口比例:男性:15-19岁,抽样数:占总人口比例:男性:20-24岁,抽样数:占总人口比例:男性:25-29岁,抽样数:占总人口比例:男性:30-34岁,抽样数:占总人口比例:男性:35-39岁,抽样数:占总人口比例:男性:40-44岁,抽样数:占总人口比例:男性:45-49岁,抽样数:占总人口比例:男性:50-54岁,抽样数:占总人口比例:男性:55-59岁,抽样数:占总人口比例:男性:60-64岁,抽样数:占总人口比例:男性:65-69岁,抽样数:占总人口比例:男性:70-74岁,抽样数:占总人口比例:男性:75-79岁,抽样数:占总人口比例:男性:80-84岁,抽样数:占总人口比例:男性:85-89岁,抽样数:占总人口比例:男性:90-94岁,抽样数:占总人口比例:男性:95岁以上,抽样数:占总人口比例:女性:0-4岁,抽样数:占总人口比例:女性:5-9岁,抽样数:占总人口比例:女性:10-14岁,抽样数:占总人口比例:女性:15-19岁,抽样数:占总人口比例:女性:20-24岁,抽样数:占总人口比例:女性:25-29岁,抽样数:占总人口比例:女性:30-34岁,抽样数:占总人口比例:女性:35-39岁,抽样数:占总人口比例:女性:40-44岁,抽样数:占总人口比例:女性:45-49岁,抽样数:占总人口比例:女性:50-54岁,抽样数:占总人口比例:女性:55-59岁,抽样数:占总人口比例:女性:60-64岁,抽样数:占总人口比例:女性:65-69岁,抽样数:占总人口比例:女性:70-74岁,抽样数:占总人口比例:女性:75-79岁,抽样数:占总人口比例:女性:80-84岁,抽样数:占总人口比例:女性:85-89岁,抽样数:占总人口比例:女性:90-94岁,抽样数:占总人口比例:女性:95岁以上
2003-12-31 00:00:00,6525.9635,8477.2912,11320.2852,10816.2999,8774.5133,9821.252,12547.9417,12418.7147,9614.4888,9679.1023,8167.1464,5724.7561,4678.0174,4251.5683,3191.9069,1899.6369,969.2025,348.9129,103.3816,25.8454,3527.8971,4587.5585,5957.3647,5634.2972,4406.6407,4923.5487,6332.123,6280.4322,4923.5487,4884.7806,4122.3413,2881.7621,2364.8541,2132.2455,1602.4148,904.589,439.3718,516.908,38.7681,0,3359.902,3876.81,5388.7659,5169.08,4380.7953,4923.5487,6241.6641,6138.2825,5039.853,4781.399,4096.4959,2855.9167,2326.086,2145.1682,1576.5694,1020.8933,542.7534,219.6859,64.6135,12.9227
2004-12-31 00:00:00,6434.406,7916.2692,10789.004,11334.9536,8254.238,9177.1528,12231.8708,12712.8264,10451.0352,9294.142,8969.172,6434.406,4939.544,4159.616,3639.664,1988.8164,1091.8992,389.964,116.9892,25.9976,3535.6736,4302.6028,5693.4744,5875.4576,4068.6244,4523.5824,6135.4336,6382.4108,5238.5164,4705.5656,4939.544,3262.6988,2560.7636,2079.808,1663.8464,948.9124,493.9544,181.9832,38.9964,12.9988,2924.73,3639.664,5329.508,5459.496,4198.6124,4666.5692,6109.436,6330.4156,5212.5188,4588.5764,4549.58,3158.7084,2417.7768,2105.8056,1702.8428,1169.892,636.9412,246.9772,116.9892,12.9988
2005-12-31 00:00:00,6982.3704,8159.1744,10421.2532,11114.26,7976.116,8551.4424,11127.3356,12709.4832,11362.6964,8839.1056,9519.0368,6982.3704,5138.7108,4341.0992,3504.2608,2235.9276,1202.9552,431.4948,117.6804,0,3844.2264,4445.704,5557.13,5766.3396,3844.2264,4144.9652,5478.6764,6263.2124,5635.5836,4432.6284,4798.7452,3556.5632,2641.2712,2196.7008,1725.9792,1046.048,509.9484,156.9072,39.2268,0,3138.144,3765.7728,4864.1232,5347.9204,4131.8896,4393.4016,5661.7348,6459.3464,5714.0372,4406.4772,4733.3672,3425.8072,2510.5152,2144.3984,1778.2816,1189.8796,693.0068,274.5876,91.5292,19.351888
2006-12-31 00:00:00,6674.140752,7779.74988,9824.029176,11574.916536,8393.874936,8167.915824,10293.69288,12559.067712,12760.577496,8430.943272,9986.10456,7525.003656,5387.922072,4408.10868,3603.121128,2273.918952,1193.022048,456.518904,0,0,3650.442408,4291.908648,5296.565712,6114.698064,4107.75,3953.167152,5049.837816,6175.558488,6312.658752,4215.405912,5030.51496,3806.602632,2749.497816,2254.99044,1779.017232,1085.629032,507.38928,172.065432,0,0,3023.829792,3487.841232,4527.463464,5460.218472,4286.124936,4214.748672,5243.986512,6383.509224,6448.050192,4215.274464,4955.5896,3718.269576,2638.424256,2153.11824,1823.972448,1188.158472,685.632768,284.453472,0,0
2007-12-31 00:00:00,6672.5145,7584.2046,9367.9461,10993.1328,8733.7269,8535.5334,9645.417,12829.7259,12882.5775,8456.256,10279.6362,8139.1464,5668.3341,4426.3215,3699.612,2338.6833,1255.2255,488.8773,118.9161,26.4258,3686.3991,4148.8506,5034.1149,5826.8889,4280.9796,4135.6377,4743.4311,6355.4049,6408.2565,4214.9151,5179.4568,4109.2119,2880.4122,2259.4059,1823.3802,1123.0965,554.9418,198.1935,39.6387,13.2129,2986.1154,3435.354,4333.8312,5166.2439,4452.7473,4386.6828,4901.9859,6474.321,6474.321,4241.3409,5100.1794,4029.9345,2787.9219,2166.9156,1876.2318,1215.5868,700.2837,303.8967,92.4903,26.4258
2008-12-31 00:00:00,6812.7426,7250.9892,8937.5746,10451.5174,9110.2172,8605.5696,9243.0192,12310.7454,12815.393,9548.4638,10358.556,8738.3716,5936.2494,4409.0264,3758.2966,2483.3974,1314.7398,544.4882,132.802,26.5604,3758.2966,3984.06,4794.1522,5564.4038,4501.9878,4223.1036,4581.669,6082.3316,6387.7762,4741.0314,5219.1186,4422.3066,3014.6054,2231.0736,1859.228,1181.9378,584.3288,212.4832,39.8406,13.2802,3054.446,3280.2094,4143.4224,4887.1136,4608.2294,4382.466,4661.3502,6228.4138,6427.6168,4807.4324,5139.4374,4316.065,2921.644,2177.9528,1885.7884,1288.1794,730.411,332.005,92.9614,26.5604
2009-12-31 00:00:00,6886.02,7219.645,8407.35,9568.365,10035.44,8647.56,9021.22,12143.95,12864.58,10582.585,9661.78,9061.255,6378.91,4590.68,3723.255,2575.585,1347.845,547.145,133.45,40.035,3789.98,3976.81,4550.645,5057.755,5044.41,4310.435,4443.885,6018.595,6405.6,5231.24,4857.58,4537.3,3242.835,2322.03,1868.3,1254.43,587.18,226.865,40.035,13.345,3096.04,3242.835,3843.36,4510.61,5004.375,4323.78,4577.335,6125.355,6472.325,5351.345,4804.2,4523.955,3136.075,2268.65,1854.955,1321.155,760.665,320.28,93.415,26.69
2010-12-31 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-12-31 00:00:00,7626.001,7208.3225,7356.531,9458.397,12772.878,10495.8565,9660.4995,11398.581,12638.143,11870.1535,7316.1105,8434.411,6197.81,4244.1525,3395.322,2492.5975,1401.244,565.887,175.1555,40.4205,4149.838,3907.315,3961.209,4944.7745,6494.227,5295.0855,4931.301,5834.0255,6453.8065,6049.6015,3745.633,4257.626,3139.3255,2128.813,1697.661,1172.1945,619.781,215.576,53.894,13.4735,3476.163,3301.0075,3381.8485,4513.6225,6278.651,5214.2445,4729.1985,5564.5555,6184.3365,5820.552,3570.4775,4176.785,3058.4845,2115.3395,1697.661,1320.403,781.463,350.311,121.2615,26.947
2012-12-31 00:00:00,7704.4876,7379.518,7203.4928,8896.0428,12254.062,10832.32,10060.5172,10723.9968,12944.6224,11956.1732,7460.7604,8598.154,6675.4172,4522.4936,3398.6404,2559.1356,1462.3632,568.6968,176.0252,40.6212,4170.4432,4007.9584,3899.6352,4684.9784,6269.2052,5443.2408,5118.2712,5483.862,6607.7152,6093.18,3804.8524,4346.4684,3358.0192,2261.2468,1679.0096,1218.636,649.9392,230.1868,54.1616,13.5404,3520.504,3371.5596,3303.8576,4211.0644,5984.8568,5375.5388,4942.246,5240.1348,6336.9072,5862.9932,3655.908,4251.6856,3317.398,2274.7872,1719.6308,1340.4996,812.424,352.0504,108.3232,27.0808
