指标名称,抽样数:占总人口比例:女性:15-19岁,抽样数:占总人口比例:女性:20-24岁,抽样数:占总人口比例:女性:25-29岁,抽样数:占总人口比例:女性:30-34岁,抽样数:占总人口比例:女性:35-39岁,抽样数:占总人口比例:女性:40-44岁,抽样数:占总人口比例:女性:45-49岁,总人数,出生人口,TFR,根据七普数据调整的出生人口,根据七普数据调整的TFR
2003-12-31 00:00:00,5169.08,4380.7953,4923.5487,6241.6641,6138.2825,5039.853,4781.399,36674.6226,1599,1.3079889198369,,
2004-12-31 00:00:00,5459.496,4198.6124,4666.5692,6109.436,6330.4156,5212.5188,4588.5764,36565.6244,1593,1.30696523809395,,
2005-12-31 00:00:00,5347.9204,4131.8896,4393.4016,5661.7348,6459.3464,5714.0372,4406.4772,36114.8072,1617,1.34321636361941,,
2006-12-31 00:00:00,5460.218472,4286.124936,4214.748672,5243.986512,6383.509224,6448.050192,4215.274464,36251.912472,1584,1.3108273952913,,
2007-12-31 00:00:00,5166.2439,4452.7473,4386.6828,4901.9859,6474.321,6474.321,4241.3409,36097.6428,1594,1.32474024037935,,
2008-12-31 00:00:00,4887.1136,4608.2294,4382.466,4661.3502,6228.4138,6427.6168,4807.4324,36002.6222,1608,1.33990240299775,,
2009-12-31 00:00:00,4510.61,5004.375,4323.78,4577.335,6125.355,6472.325,5351.345,36365.125,1615,1.33232045813125,,
2010-12-31 00:00:00,0,0,0,0,0,0,0,0,1588,,,
2011-12-31 00:00:00,4513.6225,6278.651,5214.2445,4729.1985,5564.5555,6184.3365,5820.552,38305.1605,1604,1.25622760411094,1687.22316600201,1.32140668044088
2012-12-31 00:00:00,4211.0644,5984.8568,5375.5388,4942.246,5240.1348,6336.9072,5862.9932,37953.7412,1635,1.29236271442985,1719.83159377387,1.35941665253322
2013-12-31 00:00:00,3959.6952,5646.988,5646.988,4953.0208,5021.0568,6177.6688,5864.7032,37270.1208,1640,1.32009231373353,1725.09101760804,1.38858499563117
2014-12-31 00:00:00,3665.7576,5334.498,5963.6952,4965.1866,4869.4392,6073.1208,5936.3388,36808.0362,1687,1.37497147973355,1774.52960164924,1.44631155436316
2015-12-31 00:00:00,3477.7886,4811.17,6350.7444,5017.363,4769.9314,5759.6578,6089.5666,36276.2218,1655,1.36866513480188,1740.86928911055,1.43967800619514
2016-12-31 00:00:00,3387.6395,4507.6346,6263.6763,5198.9896,4715.0411,5544.6671,6139.2324,35756.8806,1786,1.49845286000703,1878.66619356583,1.57619973726049
2017-12-31 00:00:00,3308.3904,4211.9424,5977.344,5365.7088,4934.784,5212.8,6283.1616,35294.1312,1723,1.46454943761302,1812.39745325527,1.54053724370068
2018-12-31 00:00:00,3251.2354,3893.1102,5511.751,5651.289,4925.6914,4995.4604,6125.7182,34354.2556,1523,1.32996623568231,1602.02049988844,1.39897122371801
2019-12-31 00:00:00,3276.117,3682.1315,5068.181,5992.214,4928.176,4844.173,6020.215,33811.2075,1465,1.2998648451109,1541.01118341206,1.36730802951541
2020-12-31 00:00:00,0,0,0,0,0,0,0,33003.1805028393,1440,1.30896475254206,1514.7140642412,1.37688008352185
