,,,,,,,,,,,
,,,,,,,,,,,
,表6-1 各地区每10万人口中拥有的各类受教育程度人数,,,,,,,表6-2 各地区15岁及以上人口平均受教育年限,,,
,,,,,,,,,,,
,　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　单位：人/10万人,,,,,,,　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　单位：年,,,
,地区,大学,高中,初中,小学,,,,,,
,,（大专及以上）,（含中专）,,,,,地区,2020年,2010年,
,全　国,15467,15088,34507,24767,,,全　国,9.91,9.08,0.8300000000000001
,北　京,41980,17593,23289,10503,,,北　京,12.64,11.71,0.9299999999999997
,天　津,26940,17719,32294,16123,,,天　津,11.29,10.38,0.9099999999999984
,河　北,12418,13861,39950,24664,,,河　北,9.84,9.12,0.7200000000000006
,山　西,17358,16485,38950,19506,,,山　西,10.45,9.52,0.9299999999999997
,内蒙古,18688,14814,33861,23627,,,内蒙古,10.08,9.22,0.8599999999999994
,辽　宁,18216,14670,42799,18888,,,辽　宁,10.34,9.67,0.6699999999999999
,吉　林,16738,17080,38234,22318,,,吉　林,10.17,9.49,0.6799999999999997
,黑龙江,14793,15525,42793,21863,,,黑龙江,9.93,9.36,0.5700000000000003
,上　海,33872,19020,28935,11929,,,上　海,11.81,10.73,1.08
,江　苏,18663,16191,33308,22742,,,江　苏,10.21,9.32,0.8900000000000006
,浙　江,16990,14555,32706,26384,,,浙　江,9.79,8.79,1.0
,安　徽,13280,13294,33724,26875,,,安　徽,9.35,8.28,1.0700000000000003
,福　建,14148,14212,32218,28031,,,福　建,9.66,9.02,0.6400000000000006
,江　西,11897,15145,35501,27514,,,江　西,9.7,8.86,0.8399999999999999
,山　东,14384,14334,35778,23693,,,山　东,9.75,8.97,0.7799999999999994
,河　南,11744,15239,37518,24557,,,河　南,9.79,8.95,0.8399999999999999
,湖　北,15502,17428,34280,23520,,,湖　北,10.02,9.2,0.8200000000000003
,湖　南,12239,17776,35636,25214,,,湖　南,9.88,9.16,0.7200000000000006
,广　东,15699,18224,35484,20676,,,广　东,10.38,9.55,0.8300000000000001
,广　西,10806,12962,36388,27855,,,广　西,9.54,8.76,0.7799999999999994
,海　南,13919,15561,40174,19701,,,海　南,10.1,9.22,0.879999999999999
,重　庆,15412,15956,30582,29894,,,重　庆,9.8,8.75,1.0500000000000007
,四　川,13267,13301,31443,31317,,,四　川,9.24,8.35,0.8900000000000006
,贵　州,10952,9951,30464,31921,,,贵　州,8.75,7.65,1.0999999999999996
,云　南,11601,10338,29241,35667,,,云　南,8.82,7.76,1.0600000000000005
,西　藏,11019,7051,15757,32108,,,西　藏,6.75,5.25,1.5
,陕　西,18397,15581,33979,21686,,,陕　西,10.26,9.36,0.9000000000000004
,甘　肃,14506,12937,27423,29808,,,甘　肃,9.13,8.19,0.9400000000000013
,青　海,14880,10568,24344,32725,,,青　海,8.85,7.85,1.0
,宁　夏,17340,13432,29717,26111,,,宁　夏,9.81,8.82,0.9900000000000002
,新　疆,16536,13208,31559,28405,,,新　疆,10.11,9.27,0.8399999999999999
