,分类,4,,,
,问题：市场信息表是“正常服务”，但没有对应有货店数量；判定是否是正常服务,,,,
,0001-大区,省份,市,县,是否正常服务
四川省阿坝藏族羌族自治州九寨沟县,川渝销售大区,四川省,阿坝藏族羌族自治州,九寨沟县,正常服务
四川省阿坝藏族羌族自治州理县,川渝销售大区,四川省,阿坝藏族羌族自治州,理县,正常服务
四川省成都市龙泉驿区,川渝销售大区,四川省,成都市,龙泉驿区,正常服务
四川省甘孜藏族自治州白玉县,川渝销售大区,四川省,甘孜藏族自治州,白玉县,正常服务
四川省甘孜藏族自治州德格县,川渝销售大区,四川省,甘孜藏族自治州,德格县,正常服务
四川省广元市青川县,川渝销售大区,四川省,广元市,青川县,正常服务
四川省乐山市峨边彝族自治县,川渝销售大区,四川省,乐山市,峨边彝族自治县,正常服务
四川省乐山市市中区,川渝销售大区,四川省,乐山市,市中区,正常服务
四川省眉山市东坡区,川渝销售大区,四川省,眉山市,东坡区,正常服务
四川省眉山市洪雅县,川渝销售大区,四川省,眉山市,洪雅县,正常服务
四川省眉山市青神县,川渝销售大区,四川省,眉山市,青神县,正常服务
四川省绵阳市盐亭县,川渝销售大区,四川省,绵阳市,盐亭县,正常服务
四川省南充市高坪区,川渝销售大区,四川省,南充市,高坪区,正常服务
四川省南充市阆中市,川渝销售大区,四川省,南充市,阆中市,正常服务
重庆市重庆市荣昌区,川渝销售大区,重庆市,重庆市,荣昌区,正常服务
黑龙江省鹤岗市东山区,东北销售大区,黑龙江省,鹤岗市,东山区,空白区域
黑龙江省鹤岗市工农区,东北销售大区,黑龙江省,鹤岗市,工农区,空白区域
黑龙江省鹤岗市南山区,东北销售大区,黑龙江省,鹤岗市,南山区,空白区域
黑龙江省鹤岗市向阳区,东北销售大区,黑龙江省,鹤岗市,向阳区,空白区域
黑龙江省鹤岗市兴安区,东北销售大区,黑龙江省,鹤岗市,兴安区,空白区域
黑龙江省鹤岗市兴山区,东北销售大区,黑龙江省,鹤岗市,兴山区,空白区域
黑龙江省齐齐哈尔市梅里斯达斡尔族区,东北销售大区,黑龙江省,齐齐哈尔市,梅里斯达斡尔族区,空白区域
吉林省白山市临江市,东北销售大区,吉林省,白山市,临江市,空白区域
辽宁省朝阳市北票市,东北销售大区,辽宁省,朝阳市,北票市,正常服务
内蒙古自治区呼伦贝尔市扎赉诺尔区,东北销售大区,内蒙古自治区,呼伦贝尔市,扎赉诺尔区,空白区域
河北省沧州市海兴县,河北销售大区,河北省,沧州市,海兴县,正常服务
河北省沧州市孟村回族自治县,河北销售大区,河北省,沧州市,孟村回族自治县,正常服务
河北省承德市丰宁满族自治县,河北销售大区,河北省,承德市,丰宁满族自治县,正常服务
河北省承德市围场满族蒙古族自治县,河北销售大区,河北省,承德市,围场满族蒙古族自治县,正常服务
河北省承德市鹰手营子矿区,河北销售大区,河北省,承德市,鹰手营子矿区,正常服务
河北省邯郸市肥乡区,河北销售大区,河北省,邯郸市,肥乡区,正常服务
河北省邯郸市峰峰矿区,河北销售大区,河北省,邯郸市,峰峰矿区,正常服务
河北省邯郸市永年区,河北销售大区,河北省,邯郸市,永年区,正常服务
河北省衡水市冀州区,河北销售大区,河北省,衡水市,冀州区,正常服务
河北省廊坊市大厂回族自治县,河北销售大区,河北省,廊坊市,大厂回族自治县,正常服务
河北省秦皇岛市抚宁区,河北销售大区,河北省,秦皇岛市,抚宁区,正常服务
河北省秦皇岛市青龙满族自治县,河北销售大区,河北省,秦皇岛市,青龙满族自治县,正常服务
河北省石家庄市井陉矿区,河北销售大区,河北省,石家庄市,井陉矿区,正常服务
河北省邢台市南宫市,河北销售大区,河北省,邢台市,南宫市,正常服务
河北省邢台市南和区,河北销售大区,河北省,邢台市,南和区,正常服务
河北省邢台市内丘县,河北销售大区,河北省,邢台市,内丘县,正常服务
河北省邢台市任泽区,河北销售大区,河北省,邢台市,任泽区,正常服务
河北省张家口市崇礼区,河北销售大区,河北省,张家口市,崇礼区,正常服务
河北省张家口市万全区,河北销售大区,河北省,张家口市,万全区,正常服务
河北省张家口市下花园区,河北销售大区,河北省,张家口市,下花园区,正常服务
内蒙古自治区赤峰市巴林右旗,河北销售大区,内蒙古自治区,赤峰市,巴林右旗,正常服务
内蒙古自治区赤峰市红山区,河北销售大区,内蒙古自治区,赤峰市,红山区,正常服务
内蒙古自治区赤峰市松山区,河北销售大区,内蒙古自治区,赤峰市,松山区,正常服务
天津市天津市蓟州区,河北销售大区,天津市,天津市,蓟州区,正常服务
福建省福州市平潭县,华南销售大区,福建省,福州市,平潭县,空白区域
福建省南平市延平区,华南销售大区,福建省,南平市,延平区,空白区域
福建省宁德市古田县,华南销售大区,福建省,宁德市,古田县,空白区域
福建省宁德市屏南县,华南销售大区,福建省,宁德市,屏南县,空白区域
福建省泉州市惠安县,华南销售大区,福建省,泉州市,惠安县,正常服务
福建省泉州市南安市,华南销售大区,福建省,泉州市,南安市,空白区域
福建省泉州市永春县,华南销售大区,福建省,泉州市,永春县,空白区域
